timecode,RightShoulder,RightShoulder.1,RightShoulder.2,RightElbow,RightElbow.1,RightElbow.2,RightHand,RightHand.1,RightHand.2,LeftShoulder,LeftShoulder.1,LeftShoulder.2,LeftElbow,LeftElbow.1,LeftElbow.2,LeftHand,LeftHand.1,LeftHand.2
46.314,-0.216,0.026,1.207,-0.474,-0.05,1.325,-0.553,-0.229,1.157,0.121,0.042,1.176,0.357,-0.095,1.282,0.348,-0.247,1.074
46.348,-0.22,0.026,1.219,-0.478,-0.055,1.332,-0.553,-0.228,1.157,0.117,0.04,1.185,0.354,-0.099,1.287,0.348,-0.246,1.075
46.398,-0.224,0.026,1.234,-0.482,-0.061,1.341,-0.553,-0.227,1.158,0.113,0.039,1.196,0.348,-0.104,1.296,0.347,-0.242,1.078
46.431,-0.226,0.027,1.241,-0.484,-0.064,1.346,-0.553,-0.227,1.159,0.11,0.039,1.203,0.343,-0.108,1.304,0.344,-0.234,1.079
46.464,-0.228,0.028,1.247,-0.486,-0.066,1.349,-0.553,-0.227,1.159,0.107,0.039,1.211,0.338,-0.111,1.311,0.339,-0.225,1.08
46.498,-0.231,0.029,1.252,-0.488,-0.069,1.352,-0.553,-0.227,1.159,0.105,0.04,1.218,0.333,-0.114,1.318,0.331,-0.215,1.08
46.531,-0.233,0.03,1.256,-0.49,-0.071,1.354,-0.554,-0.227,1.159,0.102,0.041,1.225,0.328,-0.117,1.323,0.321,-0.205,1.08
46.564,-0.236,0.03,1.26,-0.493,-0.073,1.356,-0.554,-0.228,1.159,0.099,0.042,1.232,0.324,-0.121,1.326,0.309,-0.197,1.08
46.598,-0.238,0.03,1.264,-0.495,-0.075,1.359,-0.555,-0.228,1.16,0.097,0.043,1.238,0.32,-0.124,1.327,0.294,-0.192,1.08
46.631,-0.241,0.029,1.268,-0.496,-0.079,1.362,-0.555,-0.228,1.16,0.094,0.043,1.243,0.317,-0.127,1.327,0.277,-0.19,1.08
46.664,-0.243,0.029,1.273,-0.498,-0.082,1.366,-0.555,-0.229,1.161,0.091,0.043,1.249,0.314,-0.131,1.324,0.259,-0.191,1.08
46.714,-0.247,0.028,1.281,-0.5,-0.089,1.373,-0.554,-0.229,1.163,0.085,0.04,1.254,0.308,-0.138,1.318,0.229,-0.2,1.081
46.748,-0.25,0.028,1.286,-0.501,-0.094,1.377,-0.554,-0.229,1.164,0.081,0.039,1.257,0.304,-0.144,1.312,0.21,-0.206,1.08
46.781,-0.253,0.027,1.29,-0.502,-0.099,1.381,-0.554,-0.229,1.165,0.077,0.037,1.259,0.299,-0.15,1.305,0.192,-0.211,1.078
46.814,-0.257,0.027,1.294,-0.504,-0.103,1.384,-0.554,-0.227,1.165,0.073,0.036,1.261,0.293,-0.155,1.295,0.175,-0.213,1.073
46.848,-0.261,0.027,1.296,-0.505,-0.107,1.387,-0.554,-0.225,1.163,0.069,0.035,1.263,0.288,-0.159,1.284,0.16,-0.214,1.067
46.881,-0.265,0.026,1.297,-0.507,-0.11,1.389,-0.553,-0.22,1.16,0.065,0.035,1.264,0.282,-0.163,1.272,0.145,-0.211,1.059
46.914,-0.268,0.023,1.297,-0.509,-0.115,1.39,-0.55,-0.213,1.155,0.062,0.035,1.266,0.276,-0.165,1.26,0.131,-0.209,1.051
46.948,-0.271,0.021,1.296,-0.51,-0.122,1.389,-0.544,-0.205,1.147,0.058,0.037,1.267,0.269,-0.166,1.249,0.119,-0.206,1.043
46.981,-0.274,0.018,1.294,-0.51,-0.13,1.386,-0.535,-0.195,1.138,0.055,0.039,1.267,0.263,-0.167,1.238,0.107,-0.203,1.036
47.014,-0.276,0.015,1.293,-0.509,-0.139,1.38,-0.52,-0.184,1.127,0.054,0.04,1.266,0.257,-0.167,1.228,0.096,-0.201,1.03
47.064,-0.275,0.012,1.293,-0.506,-0.153,1.368,-0.492,-0.169,1.111,0.054,0.041,1.264,0.253,-0.168,1.214,0.084,-0.202,1.022
47.098,-0.274,0.012,1.293,-0.501,-0.161,1.357,-0.471,-0.161,1.101,0.055,0.04,1.262,0.252,-0.17,1.204,0.077,-0.204,1.018
47.131,-0.271,0.012,1.292,-0.495,-0.17,1.344,-0.445,-0.154,1.092,0.058,0.038,1.258,0.253,-0.172,1.195,0.072,-0.207,1.014
47.164,-0.267,0.012,1.291,-0.487,-0.177,1.33,-0.417,-0.15,1.083,0.062,0.037,1.254,0.254,-0.175,1.187,0.07,-0.212,1.01
47.198,-0.262,0.013,1.289,-0.477,-0.185,1.315,-0.387,-0.15,1.076,0.067,0.035,1.251,0.256,-0.178,1.18,0.07,-0.217,1.006
47.231,-0.257,0.013,1.285,-0.465,-0.194,1.299,-0.355,-0.153,1.069,0.073,0.032,1.246,0.259,-0.182,1.173,0.071,-0.224,1.002
47.264,-0.251,0.013,1.281,-0.451,-0.202,1.282,-0.322,-0.158,1.063,0.079,0.03,1.242,0.262,-0.187,1.167,0.072,-0.231,0.998
47.298,-0.245,0.012,1.277,-0.436,-0.21,1.265,-0.29,-0.164,1.058,0.086,0.028,1.237,0.266,-0.19,1.161,0.074,-0.237,0.995
47.331,-0.24,0.011,1.272,-0.421,-0.218,1.247,-0.259,-0.172,1.052,0.092,0.027,1.232,0.27,-0.193,1.155,0.076,-0.243,0.993
47.381,-0.233,0.009,1.267,-0.396,-0.23,1.221,-0.213,-0.184,1.046,0.1,0.025,1.226,0.276,-0.196,1.149,0.078,-0.251,0.994
47.414,-0.229,0.008,1.264,-0.378,-0.238,1.206,-0.184,-0.19,1.043,0.104,0.025,1.223,0.279,-0.197,1.147,0.08,-0.256,0.995
47.448,-0.226,0.009,1.261,-0.359,-0.243,1.194,-0.159,-0.195,1.04,0.107,0.025,1.218,0.282,-0.199,1.147,0.081,-0.261,0.997
