timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
31.314,813.359,455.285,735.751,589.06,653.636,685.809,1099.863,447.072,1246.687,606.165,1264.907,740.367
31.364,813.835,455.698,740.434,595.296,655.638,688.157,1098.529,447.251,1245.617,606.989,1264.3,740.347
31.397,814.019,456.044,741.835,598.147,655.981,688.879,1098.059,448.18,1244.327,609.022,1264.154,741.248
31.43,814.683,456.196,742.012,599.516,656.491,690.053,1098.237,449.649,1243.032,611.846,1263.829,742.074
31.464,815.97,456.122,741.17,599.857,656.656,691.358,1099.04,451.307,1241.574,615.129,1263.517,742.322
31.497,817.986,455.677,740.232,599.364,656.04,691.965,1100.65,452.998,1240.364,618.576,1263.402,742.41
31.53,820.766,454.691,739.845,598.302,655.108,691.776,1102.967,454.997,1239.958,622.084,1263.376,742.479
31.564,824.19,453.315,740.38,597.039,654.281,691.28,1105.993,457.199,1240.281,625.612,1263.441,742.478
31.597,828.259,451.856,741.92,595.894,653.882,690.818,1109.638,459.536,1241.29,629.162,1263.725,742.385
31.63,832.631,450.457,744.35,595.08,654.143,689.988,1113.644,462.17,1242.518,633.048,1264.02,742.253
31.68,839.715,448.337,748.738,594.148,656.811,687.485,1120.188,465.623,1244.382,638.685,1264.441,742.235
31.714,844.033,446.822,752.019,593.507,662.364,685.013,1124.565,467.225,1245.422,641.73,1264.473,742.104
31.747,848.035,445.536,754.738,593.066,672.326,682.78,1128.922,468.673,1246.439,644.468,1264.483,741.95
31.78,851.938,444.613,756.207,593.139,685.59,681.411,1133.532,469.9,1247.501,646.873,1264.846,741.744
31.814,855.697,444.317,755.96,594.019,701.434,681.809,1138.238,471.399,1248.783,649.273,1265.141,741.611
31.847,859.259,444.856,754.31,596.277,718.78,683.826,1142.874,473.768,1250.491,652.118,1265.248,741.552
31.88,862.707,446.131,751.498,599.663,737.863,687.3,1147.403,476.701,1252.255,655.279,1265.533,741.502
31.914,865.648,446.961,749.659,603.792,758.583,691.68,1151.646,479.512,1253.635,658.247,1265.882,741.423
31.947,868.0,448.266,747.309,609.158,779.003,696.048,1155.61,481.912,1254.623,660.662,1266.179,741.342
31.98,869.653,449.5,745.424,614.944,797.716,700.902,1158.926,483.812,1255.198,662.42,1266.297,741.25
32.03,870.472,451.39,742.461,623.889,821.078,708.423,1162.181,485.531,1255.558,663.563,1266.498,741.253
32.064,869.892,452.863,739.887,629.703,832.906,714.639,1163.443,485.999,1255.401,663.287,1266.584,741.233
32.097,868.513,454.801,736.716,635.255,841.747,721.513,1163.978,486.061,1255.059,662.205,1266.405,741.219
32.13,866.264,457.347,732.69,640.346,847.616,728.119,1163.782,485.418,1254.545,660.071,1266.243,741.207
32.164,863.248,460.493,728.009,644.815,850.413,733.677,1162.865,484.128,1253.852,656.964,1266.036,741.24
32.197,859.716,463.819,722.955,648.44,850.106,737.339,1161.163,482.805,1253.243,653.325,1265.918,741.278
32.23,855.486,466.813,717.71,651.553,848.098,739.45,1158.777,481.659,1252.257,649.35,1265.919,741.334
32.264,850.599,469.462,711.834,654.353,845.091,741.409,1155.922,480.809,1250.669,645.256,1265.691,741.476
32.297,845.523,472.385,705.139,657.311,842.141,743.586,1152.717,480.433,1248.56,641.512,1265.426,741.596
32.347,837.903,477.271,694.063,662.079,837.533,747.567,1147.047,480.746,1244.892,637.053,1264.712,741.847
32.38,832.474,480.469,686.313,665.781,834.421,750.839,1142.842,480.561,1242.2,633.833,1264.452,741.956
