timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
32.91,754.89,531.672,655.617,608.934,515.846,734.824,1038.157,538.553,1276.346,678.336,1349.499,901.993
32.944,766.462,534.954,657.74,613.292,516.299,734.462,1046.311,543.77,1282.567,684.295,1350.961,903.189
32.977,778.081,536.84,659.351,616.703,516.717,734.085,1054.656,547.525,1288.33,689.042,1352.129,903.353
33.01,789.136,537.066,660.558,619.086,516.742,733.143,1062.748,549.559,1292.79,692.739,1353.029,902.403
33.044,799.003,535.161,662.105,621.028,517.175,730.73,1069.992,549.819,1295.545,695.238,1352.912,901.028
33.077,807.653,531.911,664.216,623.741,519.917,724.622,1075.867,549.687,1295.975,698.225,1353.174,900.442
33.11,815.433,528.768,667.609,628.251,529.391,715.245,1080.424,550.457,1295.192,701.809,1352.664,900.861
33.144,822.591,525.385,673.955,634.436,547.825,702.813,1084.162,551.675,1294.339,704.817,1351.509,901.706
33.177,828.897,521.553,681.04,640.285,574.131,688.763,1087.383,551.951,1292.618,707.4,1350.079,902.481
33.227,836.917,516.609,691.628,650.264,620.418,670.577,1091.87,550.577,1289.46,709.887,1347.076,902.726
33.26,841.509,514.145,698.434,657.804,655.341,664.7,1095.168,549.69,1288.641,710.818,1346.033,902.652
33.294,845.653,512.762,704.613,665.914,693.214,664.686,1098.884,549.11,1288.978,711.961,1345.826,902.728
33.327,849.831,512.502,711.583,674.963,732.094,669.908,1102.735,548.959,1290.446,713.317,1346.242,902.893
33.36,853.39,512.756,719.908,684.523,770.706,679.203,1106.512,549.231,1292.364,714.791,1346.772,903.09
33.394,855.915,513.506,730.15,694.775,805.838,690.721,1110.195,549.482,1294.026,716.569,1346.975,903.368
33.427,858.017,514.645,741.74,704.658,836.772,703.65,1113.586,549.778,1295.496,718.263,1346.569,903.682
33.46,859.855,516.533,752.849,713.558,862.893,715.987,1116.627,550.128,1296.912,719.6,1346.238,903.744
33.494,861.176,518.203,762.348,720.575,883.915,728.588,1119.259,550.331,1298.261,720.457,1345.915,903.946
33.527,862.211,519.17,770.162,725.534,899.851,740.672,1121.538,550.42,1299.936,720.735,1346.124,903.831
33.577,862.928,519.535,778.126,729.787,914.524,754.222,1123.864,550.936,1302.486,720.754,1346.817,903.81
33.61,863.227,519.19,781.137,730.672,917.568,760.78,1124.806,551.328,1303.31,721.117,1347.423,903.71
