timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
22.235,808.321,450.977,719.064,579.541,627.383,677.577,1087.122,449.395,1187.574,625.614,1157.771,692.788
22.268,810.603,451.11,722.06,582.477,628.642,679.674,1089.63,452.037,1188.806,636.974,1143.622,699.958
22.302,813.335,450.945,725.202,584.806,630.335,681.203,1092.549,454.985,1190.134,647.856,1128.388,707.897
22.335,816.374,450.189,728.077,586.32,631.859,682.101,1095.761,457.89,1190.465,657.995,1113.285,716.522
22.368,819.781,448.841,730.742,587.216,632.524,682.562,1099.403,460.726,1189.922,667.133,1099.908,725.59
22.418,825.814,446.297,734.166,587.333,632.604,682.775,1105.703,464.974,1187.945,679.123,1082.632,739.513
22.452,830.57,444.815,736.095,586.821,633.006,682.963,1110.488,467.838,1186.684,686.084,1073.863,746.804
22.485,835.531,443.451,738.253,586.054,633.215,682.98,1115.356,470.579,1186.132,692.03,1068.491,753.867
22.518,840.477,442.373,740.617,585.05,633.644,683.315,1120.239,473.228,1186.991,696.968,1065.326,759.925
22.552,845.3,441.502,743.076,583.925,634.372,683.872,1125.121,476.028,1189.213,701.423,1063.39,763.32
22.585,849.995,440.562,745.595,582.647,635.162,684.368,1129.997,478.558,1192.007,705.241,1063.58,763.722
22.618,854.532,439.43,748.201,581.084,636.216,684.806,1134.834,480.671,1194.742,708.634,1063.743,763.926
22.652,858.896,438.197,750.662,579.297,637.391,685.06,1139.668,482.759,1197.427,712.042,1064.142,764.306
22.685,863.171,437.194,752.925,577.527,637.935,684.518,1144.49,484.743,1200.175,715.389,1064.738,764.863
22.735,869.064,436.35,755.193,574.49,638.741,682.332,1151.404,488.04,1204.151,720.606,1066.578,766.316
22.768,872.497,436.481,756.498,572.868,640.017,679.946,1155.528,490.525,1206.634,724.167,1068.063,767.502
22.802,875.328,437.158,757.862,571.567,643.612,677.468,1159.114,493.09,1208.624,727.61,1068.925,768.271
