timecode,RightShoulder,RightShoulder.1,RightShoulder.2,RightElbow,RightElbow.1,RightElbow.2,RightHand,RightHand.1,RightHand.2,LeftShoulder,LeftShoulder.1,LeftShoulder.2,LeftElbow,LeftElbow.1,LeftElbow.2,LeftHand,LeftHand.1,LeftHand.2
26.363,-0.16,0.029,1.336,-0.352,-0.191,1.361,-0.321,-0.112,1.117,0.163,0.019,1.26,0.386,-0.166,1.302,0.349,-0.245,1.06
26.396,-0.163,0.028,1.342,-0.343,-0.203,1.349,-0.296,-0.109,1.114,0.159,0.02,1.264,0.384,-0.164,1.301,0.349,-0.245,1.059
26.43,-0.167,0.027,1.346,-0.334,-0.213,1.336,-0.27,-0.108,1.109,0.156,0.02,1.268,0.382,-0.163,1.299,0.35,-0.246,1.057
26.463,-0.172,0.027,1.347,-0.325,-0.222,1.321,-0.244,-0.109,1.104,0.152,0.021,1.273,0.38,-0.162,1.296,0.35,-0.247,1.055
26.496,-0.177,0.026,1.345,-0.316,-0.229,1.306,-0.219,-0.111,1.099,0.149,0.021,1.278,0.378,-0.162,1.293,0.351,-0.248,1.052
26.53,-0.183,0.025,1.341,-0.307,-0.235,1.292,-0.196,-0.117,1.092,0.146,0.02,1.282,0.376,-0.162,1.291,0.351,-0.249,1.05
26.563,-0.187,0.025,1.335,-0.299,-0.24,1.278,-0.173,-0.124,1.085,0.144,0.02,1.286,0.373,-0.163,1.29,0.351,-0.25,1.048
26.613,-0.193,0.024,1.325,-0.286,-0.246,1.259,-0.141,-0.138,1.076,0.142,0.02,1.288,0.368,-0.165,1.291,0.35,-0.25,1.048
26.646,-0.195,0.023,1.316,-0.278,-0.25,1.249,-0.122,-0.149,1.07,0.14,0.02,1.287,0.366,-0.167,1.294,0.35,-0.25,1.05
26.68,-0.196,0.023,1.307,-0.269,-0.254,1.243,-0.107,-0.161,1.065,0.14,0.02,1.285,0.364,-0.17,1.295,0.349,-0.25,1.051
26.713,-0.196,0.022,1.298,-0.261,-0.258,1.238,-0.093,-0.175,1.061,0.141,0.02,1.282,0.364,-0.171,1.296,0.348,-0.249,1.051
26.746,-0.195,0.021,1.289,-0.255,-0.261,1.235,-0.081,-0.189,1.058,0.143,0.019,1.278,0.365,-0.172,1.295,0.348,-0.249,1.05
26.78,-0.192,0.02,1.28,-0.25,-0.264,1.232,-0.071,-0.203,1.056,0.146,0.018,1.272,0.368,-0.173,1.295,0.349,-0.249,1.049
26.813,-0.188,0.019,1.27,-0.245,-0.266,1.232,-0.065,-0.215,1.055,0.151,0.017,1.266,0.371,-0.174,1.294,0.349,-0.249,1.049
26.846,-0.183,0.02,1.26,-0.243,-0.266,1.233,-0.061,-0.227,1.054,0.155,0.016,1.261,0.375,-0.175,1.294,0.35,-0.249,1.048
26.88,-0.178,0.02,1.25,-0.243,-0.265,1.235,-0.06,-0.237,1.056,0.161,0.014,1.256,0.379,-0.178,1.294,0.35,-0.249,1.048
26.913,-0.173,0.02,1.241,-0.245,-0.264,1.238,-0.06,-0.244,1.059,0.166,0.013,1.251,0.381,-0.181,1.295,0.35,-0.249,1.049
26.963,-0.166,0.02,1.234,-0.249,-0.261,1.238,-0.062,-0.247,1.061,0.172,0.01,1.246,0.384,-0.186,1.297,0.35,-0.249,1.049
26.996,-0.162,0.022,1.231,-0.249,-0.258,1.235,-0.062,-0.247,1.059,0.176,0.009,1.242,0.384,-0.19,1.298,0.35,-0.249,1.049
27.03,-0.158,0.024,1.229,-0.25,-0.255,1.232,-0.061,-0.247,1.056,0.179,0.008,1.237,0.384,-0.192,1.298,0.35,-0.249,1.049
