timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
26.363,845.285,519.337,711.309,674.558,684.202,636.489,1083.876,525.512,1244.743,662.152,1276.513,762.186
26.396,843.659,520.037,715.679,684.255,704.93,633.736,1081.047,524.845,1243.566,661.254,1276.813,762.308
26.43,841.056,520.463,719.668,692.967,726.276,633.263,1077.849,524.565,1242.574,660.353,1278.072,763.034
26.463,837.53,520.779,723.754,700.975,747.907,634.608,1074.873,524.47,1241.75,659.909,1279.054,764.406
26.496,833.407,521.433,727.642,708.477,768.2,637.301,1072.087,524.527,1240.765,659.953,1280.119,766.231
26.53,829.248,521.881,731.702,714.972,787.882,642.676,1069.532,524.745,1239.43,660.371,1281.466,767.822
26.563,825.343,522.358,735.582,720.637,806.849,649.925,1067.564,524.766,1237.513,661.193,1281.934,768.723
26.613,820.224,522.777,742.01,727.873,834.328,662.862,1065.478,524.794,1233.776,662.874,1280.872,768.593
26.646,817.629,523.007,746.742,732.087,850.468,673.402,1064.769,525.056,1231.45,664.238,1279.814,768.31
26.68,815.826,523.358,752.279,736.185,863.876,685.557,1064.85,525.241,1229.776,665.684,1278.916,768.031
26.713,814.807,523.844,757.361,739.805,875.797,698.533,1065.685,525.398,1229.405,666.645,1278.424,767.751
26.746,814.879,524.678,762.122,743.156,886.553,711.798,1067.496,525.77,1230.404,667.392,1278.539,767.678
26.78,816.043,525.276,765.579,745.55,895.035,724.444,1070.453,526.199,1232.604,667.992,1279.058,767.734
26.813,817.932,525.394,768.635,746.969,900.973,736.099,1074.14,527.069,1235.539,668.792,1279.641,767.962
26.846,820.294,525.02,770.546,747.183,904.509,746.477,1078.355,528.159,1238.508,670.076,1280.27,768.05
26.88,823.033,524.526,770.741,746.262,905.887,755.406,1082.792,529.075,1240.853,671.833,1280.575,768.06
26.913,826.016,524.26,769.636,744.529,905.208,761.478,1087.061,530.072,1242.501,674.052,1280.643,767.987
26.963,830.861,524.133,766.965,742.204,903.654,763.649,1092.577,532.033,1244.002,677.865,1280.471,767.784
26.996,833.838,522.962,766.08,740.399,903.991,764.004,1095.811,533.29,1244.261,680.353,1280.223,767.627
27.03,836.359,521.3,765.529,738.47,904.65,764.713,1098.87,534.134,1244.136,682.301,1279.953,767.429
27.063,838.587,519.001,764.882,736.063,904.879,765.003,1101.897,534.733,1243.901,683.677,1279.44,767.119
27.096,840.648,516.394,763.852,733.365,904.575,765.317,1104.884,535.5,1244.081,684.678,1278.615,766.951
27.13,842.452,513.698,762.084,730.473,903.939,765.678,1107.538,536.63,1244.661,685.393,1278.129,766.881
27.163,844.11,511.211,760.05,727.664,903.811,766.279,1109.965,538.226,1245.204,686.357,1278.152,766.863
27.196,845.37,508.982,757.79,725.187,904.464,766.654,1111.942,540.383,1245.467,687.635,1278.443,766.951
27.23,846.473,507.118,755.499,723.227,905.852,766.967,1113.632,542.874,1245.229,689.194,1278.611,767.03
27.28,847.808,505.189,751.968,721.511,907.687,768.587,1116.053,546.448,1243.972,691.434,1278.683,767.118
27.313,848.318,504.416,749.393,721.324,908.77,771.637,1117.571,548.688,1242.909,692.712,1278.126,767.258
27.346,848.631,503.972,746.641,721.735,909.3,776.567,1118.822,550.632,1241.812,693.965,1277.406,767.445
27.38,848.666,503.957,743.722,722.785,908.989,782.338,1119.94,552.208,1240.717,694.78,1276.95,767.739
27.413,848.675,504.275,740.737,724.217,908.057,788.059,1121.038,553.482,1239.815,695.061,1276.702,767.93
27.446,848.621,504.925,737.292,725.795,906.175,795.147,1122.356,554.641,1239.027,694.875,1276.426,768.03
27.48,848.545,506.066,733.896,727.822,903.976,802.931,1123.564,555.521,1238.586,694.431,1276.207,768.222
27.513,848.425,507.355,730.636,730.054,901.613,810.513,1124.687,556.275,1238.421,693.923,1276.191,768.463
27.546,848.278,508.778,727.63,732.523,899.359,819.221,1125.702,556.793,1238.259,693.384,1276.134,768.65
27.596,847.474,511.652,723.208,737.265,894.983,834.529,1126.982,557.45,1237.601,692.773,1275.984,768.761
27.63,846.579,514.042,720.794,741.339,891.373,846.296,1127.655,557.812,1236.859,692.371,1275.938,768.841
27.663,845.474,516.959,718.697,746.154,887.284,859.384,1128.276,558.236,1235.935,692.02,1275.824,768.939
27.696,844.079,520.201,717.334,751.765,883.176,873.68,1128.661,558.648,1234.714,691.688,1275.594,769.068
27.73,842.568,523.683,716.652,757.836,879.47,888.715,1128.88,559.066,1233.253,691.477,1275.509,769.272
27.763,840.955,527.006,716.862,764.009,875.799,904.608,1128.877,559.292,1231.729,691.182,1275.041,769.684
27.796,839.321,530.257,717.509,770.016,872.306,920.94,1128.783,559.495,1229.922,690.995,1274.78,769.913
27.83,837.743,533.267,718.987,775.826,869.376,936.783,1128.687,559.71,1228.191,690.401,1274.331,770.202
27.863,836.094,536.277,720.525,781.2,866.653,952.922,1128.305,559.829,1226.36,689.625,1274.053,770.315
27.896,834.333,539.456,722.286,786.586,864.287,968.853,1127.81,560.209,1225.001,688.505,1273.901,770.416
27.946,831.145,544.364,724.724,794.316,860.327,992.526,1126.469,560.662,1222.984,686.393,1273.648,770.611
27.98,828.785,547.708,727.545,799.729,857.851,1008.186,1125.345,560.906,1221.481,684.815,1273.514,770.806
28.013,826.171,551.306,730.08,805.093,855.306,1023.47,1123.918,561.033,1219.969,683.343,1273.364,771.019
28.046,823.444,555.011,732.897,810.702,852.581,1038.645,1122.242,561.315,1218.433,682.121,1273.205,771.233
28.08,820.679,559.115,735.83,816.242,849.926,1053.3,1120.507,561.721,1216.736,681.198,1272.856,771.47
28.113,817.91,563.72,738.612,822.039,847.295,1067.378,1118.75,562.393,1214.999,680.761,1272.541,771.662
28.146,815.392,568.787,741.418,828.177,844.441,1080.345,1117.1,563.242,1213.3,680.903,1272.237,771.908
