timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
22.851,777.694,463.861,716.043,585.553,644.281,679.88,1061.807,431.04,1204.74,562.107,1229.963,675.138
22.884,780.375,462.808,717.497,587.359,644.843,681.88,1064.0,433.739,1209.308,572.559,1230.84,681.923
22.917,783.634,461.665,719.433,589.118,645.497,682.802,1067.022,436.32,1215.24,583.454,1235.111,691.93
22.951,787.466,460.204,722.065,590.632,646.092,683.097,1071.026,439.033,1223.06,594.041,1241.197,705.201
22.984,791.775,458.925,725.061,591.742,646.817,683.624,1075.867,442.465,1231.776,604.587,1250.932,721.296
23.017,796.801,457.901,728.297,592.41,647.611,684.361,1081.59,446.071,1240.793,614.643,1263.443,740.222
23.051,802.33,456.887,731.468,592.551,648.414,685.117,1087.911,449.513,1249.627,623.707,1276.031,759.738
23.084,808.412,455.819,734.904,592.235,649.077,685.712,1094.81,453.031,1257.904,632.153,1290.399,779.454
23.117,814.934,454.584,738.435,591.536,649.307,685.892,1102.119,456.85,1265.773,640.283,1303.733,798.573
23.151,822.078,453.233,741.958,590.162,649.606,686.005,1109.762,460.503,1273.858,647.575,1313.558,814.565
23.184,829.077,451.592,745.538,588.059,649.591,685.885,1117.41,464.463,1282.337,654.32,1319.504,826.984
23.217,836.035,450.084,749.23,585.625,649.828,685.602,1125.301,468.237,1290.142,661.19,1321.533,834.952
23.251,842.809,448.759,752.568,582.996,649.758,685.21,1133.227,472.08,1297.394,667.912,1321.496,839.326
23.284,849.266,447.507,755.769,580.196,649.451,684.544,1140.877,476.201,1304.072,674.127,1321.256,840.528
23.317,855.319,446.297,758.566,577.179,649.363,683.148,1148.041,480.379,1309.902,679.877,1322.373,840.393
23.351,860.786,444.989,760.831,574.18,648.546,680.561,1154.606,483.611,1313.938,685.203,1322.625,840.014
23.384,865.738,443.271,762.278,570.967,647.132,677.194,1160.475,485.827,1316.663,689.809,1322.714,839.874
23.417,870.186,441.533,762.717,567.734,645.098,673.517,1165.699,487.685,1319.194,693.776,1322.672,840.028
23.451,874.032,440.143,762.02,564.671,642.925,670.27,1170.212,489.361,1321.963,696.974,1322.868,840.183
23.484,876.927,439.629,760.423,562.134,641.878,668.079,1173.645,490.843,1324.688,699.218,1323.154,840.195
23.517,878.806,440.044,758.639,560.261,643.463,666.886,1176.061,492.236,1327.152,700.762,1323.462,840.069
