timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
25.917,661.657,485.528,643.391,579.41,525.885,730.493,945.722,496.065,1165.788,693.763,1055.299,899.812
25.951,667.109,494.593,646.306,581.845,526.686,730.03,950.32,504.268,1171.239,703.137,1051.764,906.652
25.984,672.226,503.004,648.518,584.599,527.265,729.642,954.248,512.502,1176.178,711.915,1049.675,914.67
26.017,677.441,510.802,650.042,587.286,527.461,728.98,958.007,520.974,1180.567,720.954,1048.644,923.296
26.067,685.071,522.249,651.962,591.551,527.996,727.851,963.417,533.288,1185.547,734.768,1049.758,939.004
26.101,690.368,529.607,653.475,595.22,528.435,727.277,967.325,541.137,1188.161,744.079,1051.618,953.228
26.134,696.687,536.404,655.169,599.566,528.919,726.939,972.238,548.695,1190.829,753.259,1052.814,968.279
26.167,703.974,542.129,657.21,604.657,529.571,726.717,978.173,555.765,1194.117,760.933,1054.031,974.079
26.201,712.4,546.514,659.204,609.965,530.342,726.462,985.395,561.448,1196.998,767.319,1053.911,974.92
26.234,721.398,549.213,661.15,615.164,530.901,726.177,993.632,565.156,1199.628,771.121,1053.977,975.968
26.267,730.183,549.129,662.83,619.555,531.509,725.996,1002.201,566.473,1200.994,772.365,1056.278,975.623
26.301,739.049,545.429,663.831,622.344,531.839,725.604,1010.61,564.461,1198.698,772.239,1057.738,975.596
26.334,748.114,538.54,664.585,623.81,532.037,724.425,1018.634,559.696,1192.818,770.829,1057.588,975.349
26.384,762.175,528.777,666.578,628.391,535.147,716.482,1029.967,553.848,1181.32,768.118,1055.325,976.329
26.417,771.29,525.291,670.282,637.197,545.554,706.711,1036.242,553.035,1175.169,766.29,1053.983,977.109
26.451,779.911,522.884,676.303,649.342,564.847,693.023,1040.913,554.426,1172.096,764.119,1053.595,977.333
26.484,787.802,519.968,683.489,661.873,591.286,679.063,1044.691,555.836,1169.985,762.378,1054.372,976.876
26.517,794.675,516.548,690.835,673.62,622.737,671.121,1048.428,555.456,1167.3,759.708,1054.352,975.827
26.551,800.999,514.251,697.917,684.488,658.547,669.956,1053.026,554.102,1164.101,756.423,1053.934,975.209
26.584,806.788,513.67,705.272,695.066,695.891,672.102,1058.219,553.173,1161.84,754.254,1053.213,974.716
26.617,812.433,514.324,714.032,704.968,731.399,676.584,1063.934,552.674,1160.85,753.264,1052.89,974.195
26.651,817.708,515.418,723.844,713.604,765.775,683.223,1069.854,552.366,1160.832,753.456,1052.628,973.788
26.684,822.032,516.39,735.077,721.182,797.876,690.225,1075.709,552.267,1161.716,754.118,1052.549,973.631
26.734,827.562,517.677,751.372,729.895,839.855,701.957,1084.146,552.769,1164.403,755.397,1053.936,974.047
26.767,830.699,518.518,760.142,734.084,862.418,711.128,1089.0,553.522,1166.723,756.176,1054.624,974.403
26.801,833.901,519.188,766.7,736.775,880.07,720.829,1093.377,554.631,1168.926,757.479,1054.733,974.845
26.834,837.051,519.179,770.567,737.578,893.953,730.872,1097.221,555.762,1170.682,759.263,1054.062,975.212
26.867,839.668,518.362,772.27,736.753,903.947,741.209,1100.335,557.273,1172.285,761.255,1053.653,975.482
26.901,841.472,516.798,772.286,734.709,910.965,750.254,1102.718,559.134,1173.763,763.423,1053.965,975.874
26.934,842.828,515.132,770.551,732.054,915.192,757.849,1104.364,561.113,1174.623,766.073,1054.177,976.327
26.967,843.77,513.287,768.369,728.955,914.49,762.923,1105.269,562.816,1174.868,767.911,1054.144,976.512
27.001,844.438,511.488,766.681,726.231,911.588,763.455,1105.486,564.143,1174.761,769.081,1053.831,976.439
27.034,844.879,510.049,765.209,724.169,909.463,763.408,1105.114,565.053,1174.069,769.557,1053.807,975.987
27.084,845.049,508.66,763.154,722.098,909.162,764.088,1103.878,565.775,1172.591,769.639,1053.445,974.891
27.117,844.42,508.229,761.38,721.499,908.947,763.486,1102.614,566.22,1172.125,769.352,1053.997,974.23
27.151,843.406,507.814,759.143,720.965,907.966,763.531,1101.173,566.617,1171.481,768.854,1054.73,973.652
27.184,842.127,507.521,756.559,720.543,907.142,763.835,1099.612,566.733,1170.489,768.127,1054.872,972.982
