timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
21.117,826.239,526.721,677.908,640.206,550.807,723.163,1097.797,535.427,1254.471,645.419,1300.182,770.719
21.151,829.427,523.68,680.847,645.173,577.574,712.238,1097.136,535.583,1252.605,651.729,1300.936,770.452
21.184,832.558,520.505,684.192,651.416,610.761,703.398,1096.34,536.061,1250.122,657.599,1301.397,770.225
21.217,835.218,517.92,687.972,658.444,648.068,697.267,1095.586,536.312,1246.966,663.355,1301.451,770.175
21.251,837.45,517.178,692.36,667.139,687.14,694.323,1094.651,536.228,1242.707,669.913,1301.027,770.685
21.284,839.683,517.822,698.659,677.384,725.368,694.662,1094.138,536.014,1237.868,676.697,1299.563,771.414
21.317,841.292,518.877,707.814,688.985,761.875,698.138,1093.773,535.422,1233.969,681.796,1298.008,771.854
21.351,841.921,519.821,720.051,701.189,794.264,702.954,1093.503,534.723,1231.339,685.151,1297.007,771.69
21.384,842.0,521.23,733.063,712.652,822.794,708.902,1093.168,533.966,1230.322,686.67,1296.636,771.638
21.417,841.771,522.859,745.393,722.419,847.837,716.08,1092.88,533.211,1230.469,686.815,1297.009,771.559
21.451,841.261,524.26,755.632,729.778,868.372,724.189,1092.847,532.778,1230.874,686.807,1297.594,771.348
21.484,840.6,524.905,763.876,734.723,884.559,733.536,1093.033,532.715,1231.366,687.069,1297.788,771.24
21.517,839.829,525.238,769.489,738.043,895.733,742.608,1093.645,532.859,1231.889,687.738,1297.573,771.283
21.551,839.249,525.635,772.046,740.257,901.013,751.36,1094.437,533.588,1232.386,688.942,1297.387,771.182
21.584,838.413,525.923,771.872,741.664,902.078,758.832,1095.13,534.668,1232.874,690.349,1297.318,770.888
21.617,837.519,525.731,769.665,741.909,900.477,763.97,1095.676,535.797,1232.843,692.217,1297.653,770.402
21.651,836.748,525.223,766.431,741.37,898.42,765.36,1096.214,536.741,1232.847,693.066,1297.432,769.776
21.684,836.119,524.31,763.286,740.544,897.605,766.124,1096.786,537.606,1232.204,694.154,1297.254,769.11
21.717,835.395,523.192,759.606,739.708,898.156,766.607,1097.487,538.334,1231.463,694.9,1296.979,768.811
21.751,834.756,522.124,755.424,739.044,898.555,767.206,1098.265,538.936,1230.435,695.774,1297.305,768.636
21.784,834.12,520.478,750.584,737.906,898.806,766.871,1098.907,539.582,1229.293,696.333,1297.778,768.565
21.817,833.879,518.373,745.023,736.384,899.176,764.538,1099.849,540.14,1227.889,696.624,1298.243,768.682
21.851,834.158,516.415,738.655,734.895,899.186,759.261,1101.565,541.079,1226.872,696.69,1298.383,768.858
21.884,834.688,514.65,731.324,733.002,899.342,757.147,1103.861,542.535,1226.268,696.903,1298.599,769.017
