timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
19.038,681.878,285.847,632.156,491.383,612.511,700.376,1022.21,242.459,1168.562,449.211,1237.573,663.385
19.772,718.835,491.931,660.294,530.543,628.527,718.72,1050.221,422.2,1189.991,466.637,1237.731,667.155
19.805,724.978,495.326,662.771,532.79,628.502,718.355,1053.639,427.835,1189.594,470.693,1236.842,667.171
19.838,730.983,498.117,665.297,535.293,628.637,717.635,1056.238,432.726,1189.123,475.121,1236.421,667.129
19.872,736.89,500.645,667.953,538.483,628.593,716.804,1058.382,436.598,1188.849,479.848,1236.5,666.57
19.905,742.589,502.693,670.505,542.477,628.445,715.966,1060.327,439.938,1189.14,485.231,1236.465,666.32
19.938,747.777,503.911,672.994,547.198,628.584,715.005,1061.921,442.408,1189.859,491.324,1236.455,666.307
19.972,752.122,503.671,675.94,552.687,628.903,713.96,1063.004,443.349,1190.685,497.577,1236.256,666.572
20.005,755.864,500.938,678.524,558.431,628.957,712.96,1063.115,441.279,1191.221,503.279,1235.562,666.819
20.038,759.038,496.102,680.524,563.978,628.841,712.042,1062.478,436.776,1191.084,508.345,1234.662,666.61
20.072,761.543,490.764,681.581,569.195,628.58,711.178,1061.129,431.976,1190.725,513.129,1233.568,666.479
20.105,763.573,485.721,682.508,574.557,628.422,710.5,1059.256,427.923,1190.326,517.694,1232.378,666.783
20.138,765.401,481.284,683.875,579.91,628.086,709.903,1057.603,424.632,1189.548,522.452,1231.857,666.677
20.172,767.163,477.662,685.662,585.064,627.975,709.455,1056.169,422.095,1188.435,527.14,1232.012,665.85
20.205,768.858,475.177,687.034,589.732,627.948,709.227,1055.07,420.56,1187.659,531.563,1232.031,664.825
20.238,770.377,473.699,689.141,593.618,628.158,708.844,1054.391,420.287,1187.1,535.472,1231.431,663.792
20.272,771.764,473.02,690.473,596.831,628.301,708.62,1054.002,421.137,1186.782,538.924,1230.977,662.488
20.305,773.34,472.428,691.19,599.363,628.316,708.373,1053.985,422.206,1186.151,542.381,1230.515,661.398
20.338,775.315,471.827,691.948,601.466,628.082,708.253,1054.608,423.522,1185.649,546.196,1229.632,660.746
20.372,777.718,470.945,693.273,603.126,628.182,708.166,1055.814,424.72,1185.5,550.23,1228.549,660.467
20.405,780.647,469.975,694.822,604.81,627.715,708.099,1057.815,425.979,1186.164,554.456,1227.81,660.984
20.438,783.824,468.933,697.72,605.941,627.777,707.868,1060.443,427.508,1188.178,558.969,1227.923,661.894
20.472,787.168,467.88,701.148,606.869,628.025,707.546,1063.601,429.632,1192.36,564.148,1229.003,663.699
20.505,790.578,466.849,704.387,607.532,628.028,707.327,1067.324,432.451,1198.651,570.386,1232.851,666.952
20.538,794.123,465.662,707.704,607.939,627.776,707.21,1071.454,435.44,1206.917,577.303,1236.909,671.718
20.572,797.844,463.809,710.739,607.525,627.752,707.16,1076.157,438.184,1216.55,585.107,1240.96,677.587
20.605,801.68,461.451,713.592,606.155,627.577,706.929,1081.402,440.931,1226.902,593.755,1246.854,684.731
20.638,805.596,458.9,716.19,604.098,627.511,706.874,1087.289,444.175,1238.181,602.997,1253.57,694.191
20.672,809.711,456.22,718.296,601.239,627.534,706.984,1093.605,447.597,1250.075,612.453,1259.948,706.094
20.705,813.889,453.643,719.764,597.651,627.56,707.037,1100.327,451.529,1262.17,622.002,1267.062,720.83
20.738,818.57,451.358,721.041,593.732,627.416,706.933,1107.619,455.999,1274.125,631.549,1273.836,738.807
20.772,823.572,449.718,721.919,589.714,627.219,707.006,1115.355,460.797,1285.219,640.999,1279.847,759.14
20.805,828.66,448.712,722.994,585.993,626.966,707.166,1123.279,465.463,1294.108,650.281,1284.985,782.134
20.838,833.534,447.87,724.746,582.592,627.393,707.344,1130.889,470.069,1300.17,659.16,1288.745,807.06
20.872,838.153,447.132,726.82,579.593,627.549,707.54,1138.24,474.718,1303.584,668.088,1291.021,832.102
20.905,842.352,446.386,729.344,577.061,627.705,707.668,1144.977,479.335,1304.645,677.178,1293.02,856.692
20.938,845.751,446.016,731.948,574.947,628.125,707.785,1150.773,484.461,1304.476,686.465,1293.617,880.648
20.972,848.173,445.914,734.075,572.991,628.531,708.141,1155.42,489.941,1303.377,695.541,1291.849,904.115
21.005,849.577,445.613,735.527,570.795,628.782,708.477,1158.848,495.055,1301.705,704.093,1289.461,926.723
21.038,850.07,444.987,736.422,568.346,628.784,708.558,1161.183,499.417,1299.955,711.753,1286.575,948.767
21.072,849.612,444.809,736.544,565.5,628.679,708.171,1162.741,503.398,1298.59,719.264,1283.051,969.524
