timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
18.843,767.194,468.672,675.827,538.985,617.962,670.141,1068.105,434.887,1188.309,525.716,1207.557,668.662
18.877,768.514,466.703,680.114,547.299,618.83,670.178,1065.63,430.807,1187.115,528.97,1206.699,668.328
18.91,769.584,465.63,682.821,554.951,619.617,670.456,1063.203,427.951,1186.354,531.969,1206.223,668.197
18.943,770.493,464.921,684.521,561.849,619.985,670.796,1061.216,426.422,1185.808,534.626,1206.124,667.76
18.977,771.55,464.481,685.447,567.659,620.341,671.153,1060.079,426.375,1185.925,537.677,1206.672,667.367
19.01,772.508,464.006,686.194,572.061,620.652,671.386,1059.299,426.79,1186.705,541.333,1206.434,667.448
19.043,773.017,463.456,686.65,575.102,620.898,671.457,1058.686,427.802,1188.862,545.849,1205.477,668.203
19.077,773.34,463.238,686.705,577.371,621.084,671.578,1058.388,429.869,1192.0,551.433,1205.904,669.247
19.11,773.871,463.201,686.308,579.411,621.248,671.798,1058.345,432.163,1195.871,557.615,1208.434,671.463
19.143,774.639,462.981,685.966,581.334,621.607,672.241,1058.2,433.633,1200.111,563.865,1214.167,676.31
19.177,775.925,462.617,686.295,583.283,621.847,672.601,1058.617,434.284,1204.523,569.612,1221.721,683.319
19.21,777.697,462.328,687.579,585.345,622.182,672.904,1059.69,434.999,1209.479,574.535,1231.45,691.386
19.243,780.269,462.013,689.929,587.278,622.671,673.087,1061.71,436.157,1215.189,578.472,1243.016,699.821
19.277,783.521,461.737,693.178,589.161,623.179,673.304,1064.562,438.003,1221.31,581.579,1253.478,707.763
19.31,787.504,461.459,697.35,590.626,624.268,674.133,1068.199,440.336,1227.809,584.022,1260.492,714.43
19.343,792.024,461.147,701.485,591.456,625.513,675.295,1072.539,442.529,1233.506,586.159,1264.902,720.829
19.377,797.08,460.835,705.777,591.868,626.556,676.164,1077.529,444.867,1238.015,588.911,1266.818,726.536
19.41,802.228,459.995,710.212,591.715,627.388,677.016,1082.824,447.585,1240.918,592.406,1267.259,729.92
19.443,807.777,458.881,714.56,590.58,628.662,678.198,1088.674,450.227,1242.765,596.734,1267.1,731.765
19.477,813.47,457.44,718.562,588.655,629.221,678.509,1094.992,453.035,1244.298,601.711,1266.472,733.36
19.51,819.502,455.515,722.263,586.234,628.709,678.047,1101.648,456.136,1245.836,607.067,1266.497,734.809
19.543,825.543,453.325,725.757,583.304,628.435,678.029,1108.417,459.698,1247.76,612.598,1267.0,735.386
19.577,831.561,451.202,728.836,580.428,627.934,677.345,1115.215,463.215,1249.886,617.998,1267.32,735.614
19.61,837.392,449.154,731.822,578.196,627.19,675.808,1121.813,466.21,1251.82,622.888,1267.595,735.731
19.643,843.114,447.363,734.993,576.969,626.882,674.012,1128.351,468.671,1253.61,627.145,1267.504,735.632
19.677,848.515,446.197,737.784,576.616,628.162,672.702,1134.282,470.688,1255.431,630.544,1267.43,735.525
19.71,853.331,445.687,740.564,577.011,632.583,672.009,1139.892,472.483,1257.296,633.378,1267.582,735.362
19.743,857.372,445.61,743.089,578.106,641.337,671.877,1144.995,474.304,1259.215,635.777,1267.956,735.377
19.777,860.616,445.926,744.793,579.648,653.597,672.731,1149.409,476.35,1261.023,637.901,1268.349,735.418
19.81,863.171,446.385,745.265,581.409,668.423,675.083,1153.21,478.286,1262.205,639.647,1268.648,735.447
19.843,864.985,447.13,744.163,583.527,685.639,678.602,1156.399,480.065,1262.548,641.055,1268.883,735.505
19.877,865.857,448.425,741.194,586.347,704.88,683.479,1158.623,481.984,1262.583,642.253,1269.049,735.604
