timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
18.243,786.092,539.794,625.248,636.931,468.065,741.585,1060.033,522.632,1201.43,718.999,1044.629,795.628
18.276,793.494,535.935,627.514,636.31,476.31,734.568,1064.2,522.233,1201.554,723.075,1044.539,796.062
18.309,799.875,532.641,631.879,637.189,490.603,725.147,1067.249,521.987,1201.148,725.495,1044.721,796.357
18.343,805.213,529.106,638.124,640.083,510.124,712.753,1069.358,521.723,1200.108,726.853,1044.54,796.51
18.376,809.734,525.641,644.948,643.928,534.304,699.228,1070.991,520.45,1197.962,726.678,1044.792,796.562
18.409,814.062,523.157,651.142,648.232,561.581,687.645,1072.732,519.083,1195.585,726.5,1044.751,796.51
18.443,818.179,521.793,656.598,653.298,591.506,679.364,1074.647,518.127,1193.487,726.787,1044.827,796.463
18.476,821.902,521.169,662.124,659.462,624.341,674.37,1076.485,518.179,1192.271,727.824,1045.075,796.49
18.509,825.16,521.01,668.792,667.198,659.186,672.226,1078.075,519.345,1192.282,729.498,1045.436,796.933
18.543,827.716,521.256,677.034,676.485,693.99,672.307,1079.373,521.023,1193.06,731.302,1045.825,797.429
18.576,829.473,521.692,687.625,687.152,726.64,673.809,1080.523,522.254,1193.622,732.699,1046.352,797.775
18.609,830.48,522.698,700.288,698.875,755.982,676.012,1081.303,523.185,1193.677,733.811,1046.051,797.876
18.643,830.612,523.897,714.814,710.804,782.137,678.778,1081.54,523.679,1193.345,734.327,1045.551,797.736
18.676,830.03,525.518,729.762,721.851,803.939,681.262,1081.045,523.931,1192.461,734.379,1045.287,797.592
18.709,829.239,526.829,743.918,730.524,822.687,683.81,1080.246,523.679,1191.309,733.927,1045.522,797.539
18.743,828.105,527.593,756.214,736.657,838.261,686.461,1079.158,523.426,1190.082,733.406,1045.784,797.281
18.776,826.664,528.117,765.438,740.776,852.533,688.143,1077.848,523.274,1189.334,732.724,1045.295,797.215
18.809,824.89,528.406,771.691,743.417,864.663,689.567,1076.213,523.183,1189.07,731.695,1045.389,797.535
18.843,822.927,528.684,774.496,745.037,873.657,692.233,1074.445,523.047,1189.258,730.312,1046.101,797.43
18.876,820.93,528.96,774.055,746.039,880.645,696.579,1072.605,523.041,1190.179,728.611,1048.15,797.675
18.909,818.567,529.25,771.565,746.913,886.851,702.736,1070.661,523.08,1192.185,726.217,1051.02,797.819
18.943,816.094,529.517,767.528,747.65,891.868,710.41,1068.781,522.867,1194.534,723.35,1054.095,796.87
18.976,813.326,529.553,763.083,748.243,895.717,719.264,1066.889,522.36,1196.606,720.317,1055.996,795.163
19.009,810.367,529.288,758.972,748.791,898.325,729.01,1065.068,521.586,1197.909,717.425,1056.731,793.743
19.043,807.205,528.94,754.836,749.485,899.796,739.441,1063.383,520.75,1197.846,715.392,1055.729,792.877
19.076,804.164,528.95,751.046,750.846,900.362,749.077,1062.229,519.955,1196.51,714.574,1054.389,792.587
19.109,801.888,529.281,746.873,752.237,898.686,757.738,1061.814,519.475,1194.288,715.178,1054.54,793.053
19.143,800.509,529.352,743.209,753.007,897.372,763.644,1062.251,519.203,1191.702,716.97,1055.002,793.16
19.176,800.181,528.692,740.334,752.643,896.824,766.48,1063.588,519.631,1190.047,719.645,1053.377,792.798
19.209,800.532,527.298,739.017,751.456,896.431,766.696,1065.859,520.588,1189.115,723.123,1051.375,792.267
19.243,801.44,525.529,739.1,749.72,895.805,766.81,1068.888,521.941,1189.306,726.798,1050.786,792.127
19.276,802.989,523.886,739.457,747.717,895.363,767.192,1072.471,523.244,1189.791,730.381,1051.264,792.44
19.309,805.314,522.445,739.74,745.608,895.589,767.443,1076.351,524.282,1190.433,733.473,1052.498,792.996
19.343,808.168,521.071,739.175,743.303,895.662,767.791,1080.428,525.268,1190.636,736.543,1053.861,793.608
19.376,811.384,519.607,738.141,740.589,895.332,767.601,1084.516,525.981,1190.191,739.258,1055.099,794.144
19.409,814.621,517.973,735.696,737.037,893.666,766.865,1088.535,526.333,1188.997,741.575,1055.809,794.549
19.443,818.477,516.253,731.146,731.973,890.125,764.856,1092.793,526.428,1187.389,743.691,1055.86,794.689
19.476,822.523,514.5,725.305,726.207,886.171,762.432,1096.829,526.594,1185.405,745.658,1055.977,794.67
