timecode,RightShoulder,RightShoulder.1,RightShoulder.2,RightElbow,RightElbow.1,RightElbow.2,RightHand,RightHand.1,RightHand.2,LeftShoulder,LeftShoulder.1,LeftShoulder.2,LeftElbow,LeftElbow.1,LeftElbow.2,LeftHand,LeftHand.1,LeftHand.2
18.243,-0.218,0.0,1.206,-0.457,-0.132,1.312,-0.562,-0.23,1.098,0.118,0.02,1.129,0.29,-0.215,1.154,0.088,-0.267,1.002
18.276,-0.212,0.005,1.222,-0.455,-0.132,1.313,-0.549,-0.221,1.09,0.125,0.021,1.148,0.291,-0.22,1.155,0.088,-0.267,1.002
18.309,-0.206,0.009,1.237,-0.45,-0.133,1.316,-0.53,-0.209,1.083,0.13,0.022,1.164,0.29,-0.223,1.156,0.088,-0.268,1.002
18.343,-0.202,0.014,1.25,-0.443,-0.138,1.32,-0.504,-0.194,1.076,0.134,0.022,1.179,0.29,-0.225,1.157,0.088,-0.268,1.002
18.376,-0.197,0.019,1.261,-0.434,-0.143,1.322,-0.475,-0.178,1.07,0.138,0.024,1.192,0.288,-0.226,1.161,0.089,-0.268,1.003
18.409,-0.193,0.022,1.271,-0.425,-0.149,1.322,-0.442,-0.164,1.065,0.141,0.026,1.201,0.286,-0.226,1.164,0.089,-0.268,1.003
18.443,-0.189,0.024,1.28,-0.417,-0.156,1.319,-0.408,-0.154,1.062,0.144,0.028,1.207,0.284,-0.227,1.167,0.089,-0.268,1.004
18.476,-0.185,0.025,1.287,-0.408,-0.164,1.314,-0.37,-0.148,1.059,0.147,0.028,1.211,0.283,-0.229,1.169,0.089,-0.268,1.004
18.509,-0.182,0.026,1.293,-0.397,-0.173,1.307,-0.332,-0.146,1.059,0.149,0.026,1.215,0.283,-0.231,1.17,0.089,-0.269,1.004
18.543,-0.179,0.025,1.298,-0.383,-0.185,1.3,-0.294,-0.146,1.061,0.151,0.024,1.217,0.284,-0.233,1.169,0.09,-0.269,1.003
18.576,-0.177,0.025,1.301,-0.367,-0.198,1.293,-0.259,-0.148,1.065,0.153,0.023,1.219,0.285,-0.235,1.169,0.09,-0.269,1.004
18.609,-0.176,0.023,1.302,-0.348,-0.213,1.287,-0.227,-0.151,1.068,0.154,0.021,1.221,0.285,-0.236,1.169,0.09,-0.27,1.004
18.643,-0.176,0.022,1.303,-0.327,-0.228,1.282,-0.198,-0.155,1.071,0.155,0.021,1.223,0.284,-0.237,1.17,0.089,-0.27,1.004
18.676,-0.176,0.02,1.303,-0.306,-0.242,1.277,-0.174,-0.158,1.072,0.154,0.021,1.225,0.284,-0.237,1.171,0.089,-0.27,1.004
18.709,-0.178,0.018,1.304,-0.286,-0.253,1.272,-0.153,-0.161,1.072,0.154,0.021,1.226,0.282,-0.237,1.172,0.089,-0.27,1.005
18.743,-0.179,0.017,1.304,-0.269,-0.26,1.268,-0.136,-0.163,1.07,0.152,0.021,1.228,0.281,-0.237,1.174,0.09,-0.269,1.005
18.776,-0.181,0.016,1.304,-0.256,-0.265,1.265,-0.12,-0.165,1.07,0.151,0.021,1.229,0.281,-0.236,1.174,0.089,-0.269,1.005
18.809,-0.183,0.016,1.303,-0.247,-0.267,1.262,-0.106,-0.167,1.071,0.149,0.022,1.23,0.28,-0.234,1.174,0.089,-0.269,1.005
18.843,-0.186,0.015,1.302,-0.243,-0.269,1.259,-0.096,-0.17,1.072,0.147,0.022,1.232,0.28,-0.233,1.174,0.09,-0.269,1.004
18.876,-0.188,0.015,1.301,-0.243,-0.269,1.256,-0.089,-0.175,1.072,0.145,0.022,1.233,0.281,-0.23,1.173,0.092,-0.269,1.002
18.909,-0.191,0.015,1.298,-0.245,-0.27,1.251,-0.082,-0.182,1.072,0.142,0.022,1.235,0.283,-0.227,1.172,0.095,-0.269,1.001
18.943,-0.194,0.014,1.296,-0.249,-0.269,1.244,-0.076,-0.19,1.07,0.14,0.022,1.236,0.286,-0.224,1.171,0.098,-0.267,1.0
18.976,-0.197,0.014,1.292,-0.254,-0.268,1.236,-0.071,-0.199,1.067,0.138,0.023,1.237,0.288,-0.22,1.169,0.1,-0.266,0.999
19.009,-0.201,0.014,1.287,-0.257,-0.267,1.229,-0.068,-0.209,1.064,0.135,0.024,1.237,0.29,-0.216,1.168,0.101,-0.264,1.0
19.043,-0.204,0.015,1.281,-0.261,-0.267,1.223,-0.066,-0.22,1.06,0.133,0.025,1.237,0.289,-0.213,1.168,0.1,-0.264,1.001
19.076,-0.207,0.015,1.272,-0.265,-0.267,1.217,-0.066,-0.23,1.057,0.132,0.026,1.237,0.288,-0.213,1.169,0.098,-0.263,1.001
19.109,-0.208,0.014,1.263,-0.269,-0.268,1.213,-0.067,-0.239,1.056,0.131,0.026,1.237,0.286,-0.214,1.171,0.099,-0.264,1.001
19.143,-0.208,0.014,1.253,-0.274,-0.269,1.212,-0.069,-0.246,1.056,0.132,0.027,1.235,0.284,-0.217,1.175,0.099,-0.264,1.001
19.176,-0.207,0.015,1.243,-0.277,-0.268,1.21,-0.07,-0.25,1.058,0.133,0.026,1.232,0.282,-0.22,1.177,0.098,-0.264,1.002
19.209,-0.205,0.016,1.233,-0.278,-0.266,1.21,-0.07,-0.25,1.059,0.135,0.025,1.226,0.281,-0.225,1.179,0.096,-0.264,1.004
19.243,-0.202,0.018,1.222,-0.278,-0.264,1.21,-0.071,-0.25,1.058,0.138,0.023,1.22,0.282,-0.23,1.18,0.095,-0.264,1.005
19.276,-0.198,0.02,1.212,-0.278,-0.262,1.21,-0.071,-0.25,1.056,0.142,0.021,1.213,0.283,-0.234,1.18,0.096,-0.264,1.005
