timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
18.48,795.118,448.008,706.054,548.112,630.325,657.685,1079.532,433.111,1237.176,557.83,1252.795,647.645
18.53,800.058,445.418,707.679,550.021,630.745,657.702,1083.742,438.344,1237.895,585.129,1241.518,654.79
18.563,803.976,443.496,709.79,551.318,630.695,657.269,1087.537,442.738,1238.404,603.958,1230.417,663.45
18.597,808.626,441.741,712.327,552.193,630.533,656.574,1092.385,447.296,1239.28,622.048,1218.005,675.505
18.63,813.992,440.006,714.936,552.48,630.358,656.128,1098.31,451.859,1240.505,638.377,1203.697,691.336
18.663,820.2,438.428,717.681,552.365,629.984,655.924,1105.261,456.673,1241.85,652.944,1186.413,709.341
18.697,827.146,437.014,720.953,552.351,629.514,655.758,1113.187,461.782,1242.626,665.843,1168.884,729.348
18.73,834.498,435.642,724.485,552.112,629.401,655.896,1121.484,466.846,1241.677,676.827,1151.36,750.506
18.763,842.097,434.209,728.224,551.364,630.397,656.517,1129.902,471.89,1238.551,686.213,1132.674,770.741
18.797,849.909,432.791,732.324,550.299,632.125,657.241,1138.316,476.846,1232.945,694.429,1115.92,791.117
18.847,861.371,430.495,738.683,548.281,634.992,657.915,1150.205,485.229,1222.922,705.376,1093.764,819.852
18.88,868.337,429.303,742.685,546.928,636.985,658.276,1156.943,490.71,1216.187,711.108,1082.614,839.267
18.913,874.499,428.396,745.5,545.235,639.03,658.987,1162.897,495.228,1210.813,716.115,1074.972,857.848
18.947,879.782,428.078,747.725,543.712,640.526,659.411,1168.269,499.019,1207.561,721.605,1070.572,875.758
18.98,884.041,428.267,749.627,542.329,641.44,659.457,1172.799,502.239,1206.565,727.189,1070.304,893.244
19.013,886.846,428.547,751.85,541.38,642.236,659.053,1176.523,503.974,1209.956,732.649,1071.214,901.401
19.047,888.52,429.28,753.77,540.905,643.197,658.449,1179.512,505.532,1214.92,736.256,1072.99,903.249
19.08,889.575,430.768,755.138,540.938,645.753,657.88,1181.832,507.178,1218.249,738.19,1073.938,903.033
19.113,889.775,433.091,755.515,541.583,651.304,657.889,1183.592,507.967,1220.446,738.937,1073.95,903.071
19.163,888.116,436.577,754.934,545.299,667.559,658.565,1184.046,508.985,1223.402,741.531,1074.146,903.679
19.197,885.628,438.463,752.656,550.249,682.545,660.168,1182.977,509.438,1225.426,743.663,1074.973,904.357
19.23,882.129,440.452,747.84,557.097,700.179,663.948,1181.289,509.501,1226.97,745.954,1075.744,904.537
19.263,877.46,442.786,740.674,566.818,720.463,671.105,1178.972,509.15,1228.114,747.909,1076.263,904.687
19.297,871.459,446.047,730.992,579.167,742.863,681.012,1176.039,508.047,1228.986,748.888,1077.3,905.075
19.33,864.48,450.344,720.027,594.295,765.455,693.531,1172.824,506.368,1229.717,749.137,1078.457,905.264
19.363,856.904,454.958,709.671,610.84,786.724,707.724,1169.326,504.33,1230.604,748.768,1079.937,905.291
19.397,848.808,459.478,700.516,627.375,804.816,721.688,1165.456,501.779,1231.589,747.593,1081.955,905.408
19.43,840.767,464.22,692.066,642.66,818.327,734.887,1161.539,498.589,1232.403,745.866,1083.435,905.11
19.463,833.231,469.226,683.959,656.326,827.15,747.223,1157.599,495.603,1232.697,744.706,1083.901,904.823
19.513,823.065,476.296,671.892,672.228,832.36,760.657,1151.704,492.22,1232.32,744.256,1083.361,905.167
19.547,816.929,479.759,663.788,679.522,831.888,765.407,1147.66,490.59,1232.203,744.265,1083.266,905.59
19.58,811.356,482.351,655.562,684.504,829.428,769.13,1143.736,489.531,1232.16,744.476,1083.344,905.945
19.613,806.235,484.413,647.678,688.072,826.684,772.969,1140.038,488.377,1232.047,744.324,1083.303,905.924
19.647,801.271,486.213,639.815,690.738,823.65,776.433,1136.391,487.192,1231.852,743.863,1083.321,905.831
19.68,796.718,488.116,632.067,693.034,820.275,779.436,1133.018,486.277,1231.627,743.452,1083.381,905.701
19.713,792.602,489.552,626.281,695.32,816.766,782.044,1129.93,485.568,1231.194,743.008,1083.333,905.7
19.747,789.01,491.034,621.506,698.04,812.88,784.954,1127.116,485.164,1230.398,742.712,1083.465,905.874
19.78,785.859,492.487,617.679,701.164,809.131,788.87,1124.694,484.997,1229.576,742.661,1083.509,905.991
19.83,781.847,494.472,612.165,705.919,803.362,796.382,1121.41,484.469,1228.274,742.089,1083.295,905.753
19.863,779.846,495.628,608.68,708.494,799.269,801.274,1119.854,483.689,1227.273,741.375,1083.302,905.423
19.897,778.468,496.608,605.73,710.729,794.753,806.876,1119.006,483.072,1226.528,740.962,1083.386,905.222
19.93,777.521,497.244,602.934,712.441,790.001,812.606,1118.543,482.953,1225.93,741.234,1083.7,905.281
19.963,776.903,497.754,600.315,713.942,785.002,818.709,1118.491,483.385,1225.237,742.429,1083.998,905.455
19.997,776.576,498.228,598.159,715.317,778.98,825.671,1118.721,484.048,1224.606,743.927,1084.002,905.538
20.03,776.545,498.916,596.163,716.613,771.7,833.339,1119.242,484.557,1224.16,745.104,1084.07,905.483
20.063,776.65,499.834,594.449,718.11,763.121,841.529,1120.01,484.974,1224.135,745.989,1084.172,905.383
20.097,776.915,500.853,592.95,719.93,754.77,850.265,1120.866,485.317,1224.231,746.68,1084.296,905.28
20.13,777.131,501.658,592.479,722.599,746.931,859.714,1121.772,485.684,1224.281,747.354,1084.697,905.364
20.18,777.389,503.084,593.096,728.891,738.2,875.913,1123.072,486.439,1224.263,748.67,1085.43,905.412
20.213,777.39,504.163,594.682,734.674,735.367,889.239,1123.786,487.031,1223.836,749.805,1086.012,905.563
20.247,777.258,505.342,597.704,741.623,734.535,904.761,1124.338,487.459,1223.202,750.688,1085.923,905.501
20.28,776.958,506.94,602.59,749.804,736.715,921.438,1124.55,487.619,1222.623,750.986,1085.786,905.333
20.313,776.525,508.736,609.174,758.372,741.89,938.898,1124.544,487.458,1222.153,750.68,1085.726,905.269
20.347,775.87,510.524,617.402,766.667,749.728,956.612,1123.98,487.124,1221.714,749.809,1085.685,905.173
20.38,775.175,511.821,626.727,773.415,759.613,972.561,1123.11,486.517,1221.154,748.485,1085.67,905.018
20.413,774.355,512.594,636.692,778.394,770.603,986.382,1122.141,485.814,1220.298,747.28,1085.697,904.94
20.447,773.606,512.529,646.074,780.984,781.37,997.028,1121.356,485.236,1219.685,746.431,1085.593,904.787
20.497,772.751,512.132,654.396,781.344,792.689,1004.53,1120.477,484.641,1219.009,745.677,1085.348,904.663
20.53,772.799,511.713,653.816,779.599,794.132,1004.335,1120.491,484.275,1218.747,745.424,1085.186,904.682
20.563,773.437,511.061,648.657,776.478,788.521,1001.293,1120.96,483.829,1219.13,745.002,1085.142,904.656
20.597,774.52,510.212,639.424,772.104,775.589,995.501,1121.825,483.514,1219.696,744.803,1085.128,904.619
20.63,775.867,509.023,627.871,766.324,755.912,987.349,1123.019,483.609,1220.652,745.081,1085.256,904.698
20.663,777.376,507.635,615.52,758.875,731.08,976.284,1124.4,484.196,1221.859,745.966,1085.301,904.825
20.697,779.037,505.961,603.15,749.073,703.52,962.024,1125.837,484.918,1222.911,747.149,1085.33,904.936
20.73,780.922,503.993,592.039,736.745,674.956,945.173,1127.436,485.606,1223.965,748.563,1085.295,905.133
20.763,782.849,501.695,583.097,722.162,647.196,927.152,1128.884,486.333,1225.224,750.018,1085.414,905.287
20.813,785.558,497.406,574.551,697.652,612.299,898.201,1130.363,487.85,1227.954,752.259,1085.454,905.277
20.847,787.23,494.026,572.229,681.47,596.114,879.232,1130.808,488.957,1229.74,753.832,1085.41,905.353
20.88,788.827,490.412,572.21,666.882,585.131,861.094,1130.783,490.215,1231.507,755.429,1085.483,905.551
20.913,790.345,486.897,573.652,654.754,579.621,845.45,1130.339,491.366,1232.976,756.843,1085.335,905.678
20.947,791.741,483.646,575.822,645.339,579.073,832.898,1129.393,492.231,1233.94,757.663,1085.099,905.751
20.98,792.629,480.859,577.808,638.758,582.549,823.808,1128.025,492.638,1234.454,757.728,1084.996,905.822
21.013,793.132,478.637,579.86,635.252,590.373,818.156,1126.411,492.658,1234.42,757.053,1084.641,905.751
21.047,793.292,476.878,582.029,634.499,602.545,815.018,1124.77,492.406,1233.815,755.92,1084.374,905.645
21.08,793.213,475.37,584.935,636.214,619.348,813.663,1123.142,491.642,1232.514,754.132,1084.086,905.552
21.113,792.839,473.752,589.168,639.99,640.548,812.914,1121.747,490.435,1230.622,751.881,1083.835,905.492
