timecode,RightShoulder,RightShoulder.1,RightShoulder.2,RightElbow,RightElbow.1,RightElbow.2,RightHand,RightHand.1,RightHand.2,LeftShoulder,LeftShoulder.1,LeftShoulder.2,LeftElbow,LeftElbow.1,LeftElbow.2,LeftHand,LeftHand.1,LeftHand.2
60.53,-0.231,0.067,1.123,-0.5,-0.064,1.179,-0.43,-0.249,0.994,0.147,0.062,1.065,0.263,-0.215,1.01,0.101,-0.306,0.813
60.58,-0.227,0.072,1.131,-0.493,-0.056,1.208,-0.445,-0.243,1.019,0.15,0.062,1.069,0.263,-0.215,1.011,0.101,-0.306,0.814
60.613,-0.225,0.074,1.136,-0.487,-0.051,1.23,-0.452,-0.239,1.039,0.152,0.062,1.072,0.263,-0.216,1.011,0.101,-0.306,0.814
60.647,-0.223,0.076,1.141,-0.479,-0.044,1.254,-0.455,-0.233,1.061,0.153,0.062,1.075,0.262,-0.216,1.012,0.101,-0.306,0.814
60.68,-0.221,0.079,1.146,-0.471,-0.037,1.277,-0.453,-0.226,1.085,0.154,0.061,1.077,0.262,-0.216,1.012,0.101,-0.306,0.814
60.713,-0.219,0.082,1.151,-0.46,-0.028,1.302,-0.447,-0.219,1.11,0.154,0.061,1.079,0.262,-0.216,1.013,0.101,-0.306,0.814
60.747,-0.218,0.085,1.156,-0.447,-0.02,1.327,-0.436,-0.211,1.136,0.154,0.061,1.08,0.261,-0.217,1.013,0.101,-0.306,0.814
60.78,-0.216,0.089,1.161,-0.432,-0.012,1.351,-0.425,-0.205,1.162,0.154,0.061,1.081,0.261,-0.217,1.013,0.101,-0.306,0.814
60.813,-0.214,0.091,1.166,-0.416,-0.006,1.374,-0.412,-0.199,1.185,0.153,0.06,1.082,0.261,-0.217,1.013,0.101,-0.306,0.814
60.847,-0.212,0.093,1.172,-0.399,-0.002,1.394,-0.4,-0.195,1.205,0.153,0.06,1.082,0.261,-0.217,1.014,0.101,-0.306,0.814
60.897,-0.21,0.095,1.181,-0.377,-0.0,1.418,-0.385,-0.191,1.226,0.151,0.06,1.082,0.26,-0.217,1.014,0.101,-0.306,0.814
60.93,-0.209,0.095,1.186,-0.367,-0.002,1.428,-0.379,-0.191,1.234,0.15,0.06,1.081,0.26,-0.216,1.014,0.101,-0.306,0.814
60.963,-0.209,0.094,1.189,-0.362,-0.007,1.432,-0.378,-0.19,1.234,0.149,0.06,1.08,0.26,-0.216,1.013,0.101,-0.306,0.814
60.997,-0.21,0.093,1.189,-0.362,-0.013,1.431,-0.38,-0.191,1.228,0.148,0.061,1.08,0.26,-0.215,1.013,0.101,-0.306,0.814
61.03,-0.211,0.091,1.188,-0.367,-0.02,1.425,-0.386,-0.192,1.217,0.147,0.062,1.08,0.259,-0.213,1.012,0.1,-0.306,0.814
61.063,-0.213,0.089,1.184,-0.377,-0.028,1.414,-0.396,-0.196,1.203,0.147,0.063,1.082,0.259,-0.212,1.012,0.101,-0.306,0.814
61.097,-0.216,0.086,1.18,-0.389,-0.037,1.399,-0.41,-0.201,1.185,0.147,0.064,1.083,0.258,-0.212,1.013,0.101,-0.306,0.814
61.13,-0.219,0.083,1.174,-0.404,-0.045,1.38,-0.427,-0.208,1.166,0.147,0.065,1.086,0.257,-0.211,1.014,0.1,-0.306,0.814
61.163,-0.222,0.079,1.167,-0.418,-0.053,1.359,-0.447,-0.215,1.144,0.147,0.065,1.088,0.255,-0.21,1.015,0.1,-0.306,0.814
