timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
20.203,799.727,529.235,667.176,665.812,528.746,698.042,1042.118,558.75,1163.899,749.924,1064.549,970.153
20.236,806.992,526.487,675.604,670.922,553.572,681.948,1044.443,557.529,1157.309,743.443,1064.315,968.848
20.27,812.439,522.823,683.943,675.502,584.317,668.146,1045.775,555.73,1150.612,738.833,1063.07,967.262
20.303,816.524,519.667,690.743,679.69,617.499,658.016,1046.999,554.804,1145.059,736.756,1062.378,966.588
20.336,819.736,517.798,695.62,683.896,650.561,651.737,1048.5,555.298,1140.813,736.568,1061.837,967.104
20.37,822.132,516.863,699.211,688.178,683.702,649.739,1050.688,556.434,1138.233,737.525,1061.596,967.619
20.403,823.626,516.263,702.901,692.786,715.089,651.543,1053.679,557.336,1136.773,738.724,1061.964,967.95
20.436,824.423,515.738,707.653,698.043,744.209,655.672,1057.426,557.821,1135.609,740.039,1062.003,967.967
20.47,824.519,515.207,713.8,703.967,772.069,662.788,1061.678,558.008,1133.947,741.283,1061.468,968.043
20.503,823.924,515.251,720.613,710.688,796.232,672.436,1066.29,558.418,1133.101,742.88,1060.552,968.058
20.536,822.837,515.927,727.549,717.77,818.159,684.787,1070.308,559.601,1133.663,745.144,1059.827,968.667
20.57,821.735,517.053,734.257,724.559,839.802,698.231,1073.391,561.367,1135.617,747.251,1059.218,969.448
20.603,820.675,518.222,741.135,730.738,859.662,711.943,1075.947,563.015,1139.622,749.417,1059.254,969.869
20.636,819.765,519.144,747.5,735.781,876.445,725.429,1078.283,563.974,1144.973,750.922,1059.971,969.581
20.67,819.123,519.823,753.176,739.647,888.958,737.509,1080.54,564.531,1151.119,751.44,1061.136,968.835
20.703,818.669,520.545,757.277,742.586,897.734,747.128,1082.693,564.947,1158.32,752.312,1062.698,967.956
20.736,818.647,521.225,759.883,744.601,903.487,754.018,1084.821,565.488,1166.233,755.275,1064.997,967.37
20.77,819.21,521.517,760.533,745.328,905.221,759.868,1087.042,566.806,1175.249,760.567,1065.623,966.879
20.803,820.668,520.81,759.759,744.348,905.145,765.772,1089.733,568.283,1183.495,765.285,1066.264,967.554
20.836,822.873,519.169,757.24,741.894,903.653,771.219,1092.876,568.983,1192.084,771.496,1067.125,967.665
20.87,826.164,516.335,753.551,738.007,902.542,772.401,1096.169,570.023,1200.749,779.25,1069.093,967.783
20.903,829.808,512.729,747.763,733.13,901.994,773.739,1099.332,571.194,1208.741,788.024,1071.04,967.212
20.936,833.276,508.815,740.617,727.642,901.684,775.545,1101.781,572.065,1215.373,796.012,1073.427,965.878
20.97,835.598,505.179,732.391,722.322,900.574,777.639,1103.311,571.875,1219.125,800.813,1075.596,965.375
21.003,835.346,501.804,723.82,718.034,898.955,779.832,1103.83,571.23,1221.091,802.89,1075.75,965.391
21.036,832.479,498.642,715.302,715.249,897.901,781.179,1103.367,569.871,1221.824,803.379,1075.101,965.466
21.07,827.905,495.917,708.193,714.351,897.132,782.523,1101.856,568.305,1222.176,802.925,1075.322,965.948
21.103,823.078,493.753,701.959,714.443,896.367,784.601,1099.798,566.93,1221.955,802.539,1075.246,966.075
21.136,819.548,492.637,697.084,715.222,895.316,787.668,1098.329,565.973,1221.564,802.715,1074.317,966.221
21.17,817.678,493.062,694.076,717.198,893.792,792.26,1098.132,565.322,1221.156,803.009,1073.605,966.578
21.203,816.884,494.891,692.89,720.746,891.363,799.623,1099.106,564.841,1220.848,803.202,1073.555,966.945
21.236,816.541,497.866,692.735,725.754,887.41,809.437,1100.906,564.792,1221.205,803.468,1074.182,967.458
21.27,815.965,501.323,693.031,731.852,882.126,822.205,1102.738,565.033,1221.674,803.668,1075.455,968.015
21.303,815.175,504.466,695.021,738.5,876.377,836.661,1104.226,565.174,1222.314,803.392,1076.814,968.323
21.336,814.166,507.527,696.792,744.965,870.056,852.586,1105.463,565.271,1223.405,802.454,1078.263,968.641
21.37,812.876,510.136,698.621,750.74,862.929,869.873,1106.241,565.132,1224.405,800.737,1079.977,969.01
21.403,811.528,512.746,700.662,755.851,856.085,887.404,1106.656,564.574,1224.768,798.65,1081.701,969.205
21.436,810.485,515.392,702.191,759.753,849.031,905.239,1107.072,563.604,1224.593,796.095,1081.531,969.336
21.47,809.731,517.86,703.827,762.5,842.947,921.45,1107.732,562.461,1224.288,793.869,1080.78,969.148
21.503,809.486,520.363,704.883,764.062,838.282,935.862,1108.747,561.446,1224.544,791.539,1080.226,969.043
21.536,809.579,522.819,706.982,765.426,835.239,948.989,1109.844,560.873,1224.906,789.578,1079.941,968.846
21.57,809.463,525.605,710.101,767.254,833.614,961.506,1110.71,560.845,1225.129,788.108,1079.96,968.753
21.603,808.793,529.156,714.314,769.971,832.914,974.595,1111.123,560.599,1224.422,786.825,1079.514,968.35
21.636,807.518,533.829,720.965,774.55,834.1,988.571,1111.165,560.204,1222.743,785.998,1079.176,968.117
21.67,805.668,540.385,728.525,781.179,836.099,1003.983,1110.653,559.937,1220.289,785.453,1079.693,968.479
21.703,803.341,548.414,735.812,789.878,839.549,1020.113,1109.56,558.99,1217.057,784.294,1080.907,968.858
21.736,800.983,557.02,742.428,799.448,843.0,1036.845,1107.918,557.488,1213.754,782.131,1081.716,968.827
21.77,798.864,565.063,747.536,807.931,844.855,1053.283,1105.901,555.515,1210.452,779.035,1081.642,968.057
21.803,797.305,571.21,751.093,813.613,845.858,1066.924,1103.906,553.11,1207.406,775.303,1080.82,966.918
21.836,796.035,574.025,753.307,816.197,845.175,1076.104,1102.129,550.605,1204.601,771.991,1080.207,965.689
21.87,794.631,574.279,752.795,816.154,842.505,1079.856,1100.446,548.719,1202.087,769.887,1079.298,964.762
21.903,792.594,573.614,749.543,815.394,837.837,1078.7,1098.646,548.064,1200.489,769.705,1078.257,964.164
21.936,789.893,572.616,740.728,815.085,831.08,1071.142,1096.741,548.449,1200.099,771.134,1077.01,964.117
21.97,787.041,570.306,726.704,813.442,818.275,1059.238,1094.757,549.174,1201.023,772.715,1076.794,964.227
22.003,784.213,566.839,709.395,808.877,800.03,1043.497,1092.57,549.818,1202.902,774.001,1077.29,964.267
22.036,781.791,562.714,689.776,802.796,777.96,1024.136,1090.374,550.457,1205.266,774.845,1077.202,964.286
22.07,779.764,558.627,668.849,795.827,753.25,1004.872,1088.131,551.056,1207.478,775.5,1077.564,964.514
22.103,778.388,555.161,648.826,787.864,728.454,986.873,1086.013,551.318,1208.778,776.265,1077.528,964.975
22.136,777.26,552.425,630.707,779.385,703.862,968.3,1083.811,551.545,1209.454,776.842,1076.71,965.633
22.17,776.456,550.448,615.446,770.387,680.41,950.488,1081.629,551.8,1209.878,777.576,1076.056,965.848
22.203,775.983,549.036,603.099,760.836,659.736,934.936,1079.62,552.344,1210.61,778.498,1075.712,966.034
22.236,775.782,547.56,594.562,751.559,640.587,921.942,1077.782,552.96,1211.663,779.232,1075.741,966.289
22.27,776.056,546.141,588.962,742.859,624.823,911.136,1076.317,553.504,1212.878,779.387,1075.721,966.522
22.303,776.52,545.027,585.351,735.478,614.416,901.865,1075.064,553.963,1214.031,779.075,1075.63,966.895
22.336,777.033,543.854,583.817,729.937,609.785,894.242,1074.057,554.32,1214.764,778.586,1075.413,967.295
22.37,777.911,542.334,585.38,726.862,611.615,888.152,1073.386,554.488,1215.507,777.689,1074.981,967.612
