timecode,RightShoulder,RightShoulder.1,RightShoulder.2,RightElbow,RightElbow.1,RightElbow.2,RightHand,RightHand.1,RightHand.2,LeftShoulder,LeftShoulder.1,LeftShoulder.2,LeftElbow,LeftElbow.1,LeftElbow.2,LeftHand,LeftHand.1,LeftHand.2
22.87,-0.161,0.043,1.291,-0.289,-0.189,1.416,-0.239,-0.156,1.165,0.162,-0.005,1.197,0.324,-0.169,1.015,0.251,-0.201,0.77
22.904,-0.158,0.045,1.295,-0.288,-0.191,1.411,-0.232,-0.153,1.162,0.165,-0.006,1.201,0.327,-0.169,1.02,0.257,-0.201,0.774
22.937,-0.155,0.045,1.298,-0.287,-0.194,1.405,-0.225,-0.15,1.159,0.167,-0.008,1.204,0.33,-0.171,1.023,0.26,-0.202,0.776
22.97,-0.152,0.045,1.301,-0.286,-0.196,1.4,-0.219,-0.149,1.155,0.169,-0.009,1.205,0.331,-0.172,1.023,0.262,-0.204,0.777
23.004,-0.15,0.046,1.303,-0.285,-0.198,1.395,-0.213,-0.148,1.152,0.171,-0.01,1.205,0.331,-0.174,1.022,0.261,-0.207,0.776
23.037,-0.148,0.047,1.304,-0.283,-0.199,1.391,-0.208,-0.147,1.15,0.172,-0.01,1.204,0.329,-0.175,1.02,0.259,-0.21,0.774
23.07,-0.146,0.047,1.305,-0.28,-0.2,1.388,-0.204,-0.147,1.148,0.173,-0.011,1.203,0.327,-0.177,1.016,0.254,-0.212,0.772
23.104,-0.145,0.047,1.305,-0.278,-0.201,1.386,-0.199,-0.148,1.146,0.174,-0.012,1.201,0.325,-0.178,1.012,0.248,-0.213,0.768
23.137,-0.144,0.047,1.305,-0.276,-0.203,1.382,-0.194,-0.15,1.143,0.174,-0.014,1.199,0.321,-0.179,1.006,0.241,-0.215,0.763
23.17,-0.143,0.046,1.306,-0.276,-0.205,1.376,-0.188,-0.152,1.14,0.173,-0.015,1.195,0.317,-0.179,0.999,0.234,-0.218,0.758
23.204,-0.143,0.046,1.304,-0.277,-0.207,1.369,-0.181,-0.153,1.135,0.172,-0.015,1.191,0.311,-0.179,0.992,0.227,-0.222,0.752
23.237,-0.144,0.046,1.301,-0.279,-0.208,1.359,-0.175,-0.153,1.13,0.171,-0.015,1.186,0.306,-0.179,0.985,0.221,-0.228,0.746
23.27,-0.147,0.045,1.296,-0.281,-0.211,1.347,-0.169,-0.153,1.122,0.169,-0.016,1.181,0.302,-0.18,0.978,0.215,-0.235,0.741
23.304,-0.15,0.043,1.291,-0.284,-0.215,1.332,-0.162,-0.153,1.113,0.166,-0.016,1.174,0.297,-0.182,0.971,0.209,-0.243,0.737
23.337,-0.153,0.041,1.286,-0.285,-0.219,1.315,-0.154,-0.155,1.102,0.163,-0.018,1.167,0.293,-0.185,0.964,0.205,-0.248,0.731
23.37,-0.156,0.039,1.28,-0.285,-0.223,1.296,-0.144,-0.157,1.091,0.16,-0.019,1.16,0.288,-0.187,0.957,0.201,-0.254,0.723
23.404,-0.159,0.038,1.272,-0.284,-0.227,1.277,-0.133,-0.161,1.079,0.156,-0.021,1.151,0.284,-0.189,0.948,0.199,-0.26,0.715
23.437,-0.163,0.037,1.263,-0.283,-0.23,1.258,-0.121,-0.166,1.068,0.153,-0.024,1.143,0.28,-0.192,0.939,0.196,-0.265,0.706
23.47,-0.168,0.037,1.253,-0.281,-0.233,1.24,-0.11,-0.173,1.057,0.149,-0.027,1.133,0.276,-0.195,0.929,0.193,-0.272,0.697
23.504,-0.172,0.037,1.241,-0.28,-0.235,1.225,-0.1,-0.181,1.048,0.145,-0.031,1.124,0.272,-0.199,0.92,0.191,-0.278,0.688
23.537,-0.177,0.036,1.229,-0.279,-0.238,1.211,-0.092,-0.19,1.041,0.142,-0.035,1.114,0.268,-0.204,0.911,0.189,-0.287,0.679
23.57,-0.181,0.034,1.217,-0.279,-0.241,1.199,-0.085,-0.2,1.036,0.139,-0.039,1.104,0.265,-0.21,0.902,0.187,-0.295,0.671
23.604,-0.182,0.032,1.205,-0.28,-0.244,1.19,-0.077,-0.212,1.034,0.138,-0.043,1.095,0.263,-0.216,0.894,0.185,-0.304,0.664
23.637,-0.183,0.028,1.192,-0.282,-0.248,1.182,-0.072,-0.223,1.035,0.139,-0.047,1.086,0.262,-0.223,0.887,0.184,-0.313,0.658
23.67,-0.183,0.025,1.18,-0.281,-0.251,1.178,-0.067,-0.237,1.036,0.141,-0.051,1.078,0.263,-0.23,0.88,0.184,-0.323,0.653
23.704,-0.182,0.021,1.167,-0.282,-0.254,1.177,-0.063,-0.249,1.04,0.144,-0.055,1.071,0.265,-0.235,0.874,0.184,-0.334,0.65
23.737,-0.179,0.018,1.155,-0.282,-0.255,1.176,-0.062,-0.252,1.042,0.148,-0.059,1.064,0.268,-0.241,0.868,0.185,-0.346,0.647
23.77,-0.175,0.016,1.144,-0.282,-0.255,1.175,-0.063,-0.252,1.039,0.154,-0.062,1.058,0.271,-0.247,0.863,0.186,-0.36,0.647
23.804,-0.169,0.015,1.134,-0.281,-0.253,1.174,-0.062,-0.253,1.038,0.16,-0.064,1.054,0.276,-0.252,0.861,0.186,-0.359,0.644
23.837,-0.163,0.013,1.123,-0.281,-0.25,1.173,-0.061,-0.253,1.038,0.168,-0.064,1.052,0.279,-0.254,0.858,0.186,-0.36,0.643
23.87,-0.157,0.013,1.113,-0.28,-0.247,1.171,-0.06,-0.252,1.036,0.176,-0.063,1.05,0.283,-0.256,0.858,0.186,-0.361,0.643
23.904,-0.149,0.013,1.105,-0.277,-0.244,1.167,-0.059,-0.245,1.029,0.184,-0.06,1.049,0.285,-0.258,0.858,0.187,-0.361,0.643
23.937,-0.143,0.014,1.099,-0.273,-0.241,1.162,-0.055,-0.245,1.025,0.19,-0.059,1.047,0.287,-0.262,0.86,0.188,-0.362,0.644
23.97,-0.138,0.016,1.094,-0.27,-0.238,1.158,-0.053,-0.246,1.02,0.196,-0.058,1.046,0.289,-0.265,0.861,0.188,-0.363,0.644
24.004,-0.13,0.015,1.091,-0.272,-0.233,1.155,-0.055,-0.257,1.018,0.206,-0.055,1.044,0.29,-0.269,0.861,0.188,-0.364,0.644
24.037,-0.124,0.017,1.09,-0.271,-0.229,1.152,-0.055,-0.257,1.014,0.212,-0.054,1.043,0.29,-0.269,0.86,0.187,-0.364,0.644
24.07,-0.119,0.019,1.09,-0.271,-0.224,1.148,-0.055,-0.258,1.011,0.217,-0.053,1.043,0.292,-0.269,0.859,0.188,-0.365,0.644
24.104,-0.114,0.022,1.092,-0.271,-0.22,1.145,-0.055,-0.258,1.009,0.221,-0.053,1.044,0.294,-0.269,0.859,0.189,-0.365,0.644
24.137,-0.11,0.025,1.095,-0.271,-0.216,1.142,-0.055,-0.258,1.007,0.224,-0.054,1.044,0.295,-0.27,0.859,0.189,-0.366,0.644
24.17,-0.107,0.027,1.098,-0.27,-0.213,1.14,-0.055,-0.258,1.006,0.226,-0.056,1.045,0.295,-0.272,0.86,0.19,-0.366,0.644
24.204,-0.105,0.029,1.101,-0.269,-0.211,1.14,-0.055,-0.258,1.004,0.226,-0.058,1.047,0.295,-0.274,0.862,0.19,-0.366,0.645
24.237,-0.105,0.031,1.104,-0.269,-0.209,1.141,-0.056,-0.259,1.003,0.226,-0.059,1.049,0.293,-0.275,0.863,0.189,-0.366,0.645
24.27,-0.106,0.033,1.107,-0.269,-0.208,1.141,-0.057,-0.259,1.003,0.224,-0.06,1.05,0.293,-0.275,0.863,0.189,-0.366,0.645
24.304,-0.108,0.034,1.11,-0.27,-0.208,1.139,-0.057,-0.259,1.003,0.221,-0.061,1.051,0.292,-0.275,0.864,0.189,-0.366,0.646
24.337,-0.11,0.035,1.113,-0.272,-0.208,1.134,-0.057,-0.26,1.002,0.218,-0.062,1.052,0.292,-0.275,0.864,0.189,-0.365,0.646
24.37,-0.114,0.035,1.115,-0.276,-0.209,1.126,-0.058,-0.261,0.998,0.213,-0.063,1.052,0.291,-0.274,0.864,0.189,-0.365,0.646
24.404,-0.119,0.035,1.117,-0.28,-0.21,1.114,-0.059,-0.263,0.991,0.208,-0.063,1.052,0.29,-0.273,0.864,0.189,-0.365,0.646
24.437,-0.125,0.034,1.116,-0.284,-0.211,1.098,-0.061,-0.266,0.98,0.203,-0.063,1.051,0.29,-0.272,0.864,0.188,-0.365,0.646
24.47,-0.131,0.032,1.115,-0.287,-0.213,1.079,-0.063,-0.27,0.964,0.198,-0.063,1.05,0.289,-0.272,0.865,0.187,-0.364,0.648
24.504,-0.138,0.03,1.113,-0.288,-0.216,1.059,-0.065,-0.276,0.944,0.192,-0.063,1.048,0.29,-0.272,0.866,0.187,-0.364,0.649
24.537,-0.144,0.026,1.11,-0.288,-0.219,1.037,-0.067,-0.282,0.921,0.186,-0.063,1.045,0.29,-0.27,0.866,0.187,-0.364,0.649
24.57,-0.151,0.023,1.106,-0.285,-0.222,1.016,-0.068,-0.29,0.895,0.181,-0.063,1.043,0.291,-0.269,0.865,0.187,-0.364,0.649
24.604,-0.158,0.02,1.1,-0.281,-0.225,0.996,-0.069,-0.297,0.868,0.176,-0.062,1.04,0.291,-0.267,0.863,0.188,-0.365,0.648
24.637,-0.164,0.017,1.093,-0.275,-0.228,0.978,-0.07,-0.304,0.842,0.172,-0.061,1.036,0.291,-0.265,0.863,0.188,-0.365,0.648
24.67,-0.169,0.015,1.086,-0.269,-0.231,0.961,-0.07,-0.311,0.817,0.168,-0.06,1.033,0.29,-0.265,0.862,0.188,-0.365,0.648
24.704,-0.174,0.011,1.078,-0.263,-0.234,0.945,-0.07,-0.316,0.795,0.165,-0.059,1.029,0.29,-0.265,0.862,0.187,-0.365,0.648
24.737,-0.179,0.007,1.07,-0.257,-0.238,0.93,-0.07,-0.321,0.773,0.162,-0.059,1.026,0.291,-0.266,0.863,0.188,-0.365,0.648
24.77,-0.182,0.003,1.062,-0.251,-0.242,0.916,-0.07,-0.327,0.753,0.16,-0.059,1.023,0.291,-0.267,0.863,0.187,-0.365,0.648
24.804,-0.186,-0.001,1.053,-0.245,-0.245,0.902,-0.072,-0.332,0.732,0.157,-0.058,1.02,0.291,-0.267,0.863,0.188,-0.365,0.648
24.837,-0.19,-0.007,1.045,-0.238,-0.25,0.887,-0.073,-0.339,0.71,0.156,-0.058,1.018,0.29,-0.267,0.863,0.187,-0.365,0.648
24.87,-0.193,-0.013,1.036,-0.23,-0.253,0.872,-0.073,-0.345,0.689,0.154,-0.058,1.018,0.288,-0.267,0.863,0.187,-0.365,0.647
24.904,-0.196,-0.019,1.028,-0.222,-0.257,0.857,-0.073,-0.351,0.67,0.153,-0.057,1.017,0.287,-0.267,0.863,0.186,-0.365,0.647
24.937,-0.198,-0.025,1.02,-0.214,-0.26,0.844,-0.072,-0.357,0.652,0.153,-0.056,1.018,0.286,-0.266,0.863,0.186,-0.366,0.647
24.97,-0.199,-0.031,1.012,-0.206,-0.262,0.832,-0.07,-0.362,0.637,0.153,-0.055,1.018,0.285,-0.265,0.863,0.187,-0.366,0.647
25.004,-0.2,-0.036,1.007,-0.199,-0.264,0.823,-0.068,-0.365,0.625,0.152,-0.054,1.019,0.285,-0.263,0.862,0.187,-0.366,0.647
25.037,-0.2,-0.039,1.003,-0.194,-0.265,0.818,-0.067,-0.367,0.618,0.153,-0.053,1.02,0.284,-0.262,0.862,0.187,-0.366,0.647
25.07,-0.199,-0.039,1.003,-0.193,-0.266,0.817,-0.068,-0.367,0.616,0.154,-0.051,1.022,0.283,-0.261,0.862,0.187,-0.366,0.647
25.104,-0.197,-0.037,1.005,-0.195,-0.264,0.819,-0.07,-0.366,0.618,0.156,-0.05,1.023,0.282,-0.259,0.861,0.187,-0.366,0.647
25.137,-0.195,-0.035,1.008,-0.199,-0.263,0.823,-0.074,-0.365,0.621,0.158,-0.049,1.025,0.283,-0.257,0.86,0.187,-0.366,0.647
25.17,-0.192,-0.033,1.012,-0.206,-0.261,0.829,-0.081,-0.363,0.627,0.161,-0.048,1.027,0.283,-0.256,0.86,0.187,-0.365,0.647
25.204,-0.19,-0.03,1.017,-0.215,-0.259,0.836,-0.089,-0.36,0.636,0.163,-0.048,1.029,0.282,-0.255,0.86,0.188,-0.365,0.647
25.237,-0.186,-0.027,1.024,-0.227,-0.257,0.846,-0.099,-0.357,0.646,0.166,-0.048,1.032,0.282,-0.255,0.86,0.187,-0.365,0.647
25.27,-0.183,-0.023,1.031,-0.242,-0.253,0.859,-0.112,-0.353,0.66,0.169,-0.048,1.035,0.281,-0.255,0.86,0.187,-0.365,0.647
25.304,-0.179,-0.02,1.038,-0.26,-0.249,0.875,-0.128,-0.348,0.676,0.172,-0.048,1.037,0.281,-0.255,0.86,0.187,-0.365,0.647
25.337,-0.176,-0.017,1.046,-0.278,-0.246,0.893,-0.145,-0.343,0.695,0.174,-0.048,1.039,0.281,-0.255,0.861,0.187,-0.365,0.647
25.37,-0.173,-0.015,1.053,-0.296,-0.242,0.914,-0.164,-0.337,0.714,0.176,-0.048,1.04,0.281,-0.255,0.861,0.186,-0.365,0.648
25.404,-0.17,-0.013,1.061,-0.311,-0.238,0.937,-0.182,-0.331,0.734,0.178,-0.048,1.041,0.282,-0.255,0.861,0.186,-0.365,0.648
25.437,-0.168,-0.011,1.069,-0.324,-0.233,0.958,-0.2,-0.326,0.752,0.179,-0.048,1.041,0.282,-0.255,0.861,0.186,-0.365,0.648
25.47,-0.165,-0.009,1.076,-0.334,-0.227,0.978,-0.215,-0.321,0.77,0.18,-0.048,1.04,0.283,-0.255,0.86,0.186,-0.365,0.648
25.504,-0.163,-0.007,1.083,-0.343,-0.222,0.996,-0.229,-0.317,0.785,0.181,-0.047,1.039,0.283,-0.255,0.86,0.186,-0.365,0.648
25.537,-0.162,-0.006,1.089,-0.35,-0.216,1.012,-0.242,-0.314,0.8,0.181,-0.047,1.039,0.283,-0.255,0.859,0.186,-0.365,0.648
25.57,-0.16,-0.005,1.094,-0.357,-0.212,1.026,-0.254,-0.312,0.811,0.181,-0.047,1.039,0.283,-0.255,0.859,0.186,-0.365,0.648
25.604,-0.16,-0.006,1.097,-0.362,-0.209,1.037,-0.266,-0.31,0.821,0.18,-0.047,1.04,0.283,-0.255,0.86,0.186,-0.365,0.648
25.637,-0.16,-0.006,1.1,-0.367,-0.206,1.047,-0.276,-0.308,0.829,0.18,-0.048,1.041,0.282,-0.255,0.861,0.186,-0.365,0.648
25.67,-0.16,-0.007,1.1,-0.371,-0.205,1.056,-0.285,-0.307,0.835,0.179,-0.048,1.043,0.281,-0.254,0.861,0.186,-0.365,0.648
25.704,-0.161,-0.008,1.101,-0.374,-0.205,1.062,-0.292,-0.305,0.839,0.178,-0.049,1.045,0.279,-0.254,0.862,0.186,-0.365,0.648
25.737,-0.163,-0.008,1.1,-0.376,-0.206,1.066,-0.294,-0.305,0.842,0.176,-0.05,1.046,0.278,-0.254,0.862,0.185,-0.364,0.648
25.77,-0.164,-0.007,1.099,-0.376,-0.207,1.067,-0.29,-0.305,0.844,0.175,-0.051,1.048,0.277,-0.253,0.862,0.185,-0.364,0.648
25.804,-0.166,-0.006,1.098,-0.376,-0.208,1.066,-0.283,-0.306,0.846,0.173,-0.051,1.048,0.277,-0.252,0.862,0.185,-0.364,0.648
25.837,-0.167,-0.004,1.098,-0.374,-0.209,1.062,-0.272,-0.306,0.847,0.172,-0.053,1.049,0.277,-0.251,0.861,0.185,-0.364,0.648
25.87,-0.168,-0.002,1.099,-0.371,-0.209,1.057,-0.257,-0.306,0.847,0.17,-0.055,1.048,0.279,-0.25,0.859,0.185,-0.364,0.648
25.904,-0.169,0.002,1.1,-0.365,-0.21,1.05,-0.238,-0.307,0.848,0.168,-0.057,1.046,0.283,-0.249,0.857,0.186,-0.365,0.648
25.937,-0.169,0.005,1.102,-0.356,-0.213,1.043,-0.216,-0.307,0.848,0.167,-0.059,1.045,0.285,-0.248,0.855,0.187,-0.365,0.647
25.97,-0.168,0.008,1.103,-0.345,-0.216,1.036,-0.194,-0.308,0.848,0.166,-0.06,1.043,0.287,-0.247,0.853,0.187,-0.365,0.647
26.004,-0.167,0.011,1.105,-0.331,-0.219,1.028,-0.171,-0.308,0.846,0.166,-0.06,1.042,0.288,-0.247,0.853,0.187,-0.365,0.647
