timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
24.704,804.887,530.143,692.725,778.26,875.394,922.292,1113.874,595.291,1283.302,835.296,1237.592,1080.804
24.737,799.793,533.334,695.014,785.791,873.231,938.84,1111.678,595.255,1283.359,836.158,1237.758,1080.575
24.77,795.008,536.972,696.925,793.209,870.593,956.51,1109.84,595.08,1283.466,836.757,1237.401,1080.111
24.804,790.181,541.355,699.22,801.356,866.159,975.917,1108.199,594.768,1283.24,837.019,1237.723,1080.351
24.837,785.393,546.766,702.488,810.249,861.649,997.828,1106.785,594.564,1282.361,837.363,1237.5,1080.838
24.87,780.943,552.39,706.555,818.961,857.854,1020.813,1105.615,594.269,1280.86,837.426,1236.813,1081.873
24.904,777.082,558.123,711.329,827.298,855.407,1043.84,1104.822,593.58,1279.636,836.811,1236.049,1082.279
24.937,773.729,563.825,717.0,835.22,854.46,1065.836,1104.25,592.567,1278.565,835.808,1236.539,1082.52
24.97,771.007,569.183,722.699,842.096,854.445,1085.489,1103.851,591.426,1277.488,834.419,1237.05,1082.669
25.004,769.04,573.876,727.941,847.63,855.24,1100.951,1103.533,590.734,1276.965,832.791,1237.502,1082.892
25.037,768.38,577.047,731.738,851.649,855.847,1110.259,1103.951,589.747,1276.2,831.768,1238.267,1082.986
25.07,769.237,577.377,733.081,852.144,854.678,1112.508,1104.805,588.319,1275.338,830.344,1237.966,1082.97
25.104,771.331,575.665,731.712,849.536,851.274,1109.335,1106.206,586.984,1274.94,828.836,1237.642,1082.894
25.137,774.098,573.473,727.983,846.433,845.004,1103.251,1108.006,585.986,1275.215,827.292,1237.403,1082.628
25.17,777.402,571.217,721.695,842.753,836.215,1095.119,1110.045,585.298,1275.433,826.062,1237.969,1082.311
