timecode,RightShoulder_2D,RightShoulder_2D.1,RightElbow_2D,RightElbow_2D.1,RightHand_2D,RightHand_2D.1,LeftShoulder_2D,LeftShoulder_2D.1,LeftElbow_2D,LeftElbow_2D.1,LeftHand_2D,LeftHand_2D.1
23.711,823.755,436.181,748.429,562.631,757.378,727.62,1127.532,390.892,1223.827,527.188,1304.414,668.012
24.611,859.938,524.528,761.524,658.104,758.334,759.529,1096.627,502.906,1210.314,648.128,1262.531,665.365
24.644,860.763,524.133,761.23,658.906,758.234,758.841,1097.12,505.42,1212.375,655.385,1262.152,671.115
24.678,861.358,523.596,760.688,659.185,758.164,758.021,1097.672,507.498,1214.131,660.65,1261.603,678.951
24.711,861.973,523.077,759.868,659.048,757.999,757.222,1098.4,509.038,1215.762,664.081,1260.752,689.203
24.744,862.554,522.641,759.129,658.616,757.702,756.376,1099.181,510.155,1217.506,666.04,1260.264,700.774
24.778,863.079,522.249,758.552,658.138,757.541,755.777,1100.068,510.997,1219.123,667.24,1259.771,713.018
24.811,863.874,521.908,758.291,657.625,757.439,755.461,1101.321,511.697,1220.404,668.549,1259.347,724.863
24.844,864.941,521.631,758.448,657.018,757.422,755.099,1102.839,512.327,1221.347,670.214,1258.877,735.109
24.878,866.069,521.464,759.23,656.471,757.501,754.513,1104.426,512.597,1221.387,672.147,1258.656,743.344
24.911,867.271,521.403,760.213,655.823,757.368,753.852,1105.982,512.296,1221.002,673.632,1257.191,751.067
24.944,868.25,521.288,761.409,655.167,757.352,753.23,1107.398,511.988,1220.335,675.003,1256.184,753.625
24.978,869.16,521.111,762.681,654.424,757.495,752.707,1108.628,511.446,1219.705,675.877,1257.294,753.18
25.011,869.762,521.006,763.47,653.536,757.841,751.806,1109.806,510.166,1219.806,675.631,1257.314,754.073
25.044,870.315,520.866,764.308,652.562,757.906,749.614,1110.922,508.488,1221.101,674.302,1257.742,754.331
25.078,870.694,520.983,765.0,651.337,758.287,745.363,1111.9,507.33,1222.578,673.304,1258.257,754.476
25.111,870.902,521.404,766.368,650.096,759.338,737.637,1112.788,506.796,1223.378,673.212,1258.54,754.562
25.144,871.024,521.211,767.912,649.044,762.147,729.218,1113.477,506.768,1223.442,673.806,1258.553,754.64
25.178,871.053,520.572,769.337,649.092,768.687,720.247,1114.047,506.973,1223.175,674.626,1258.444,754.62
25.211,871.24,519.79,769.775,650.926,777.414,711.02,1114.608,507.334,1222.534,675.723,1258.519,754.642
25.244,871.673,519.115,769.171,655.383,786.746,703.139,1115.334,507.651,1221.762,676.862,1258.75,754.654
